season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2011,00-0006101,T.Gonzalez,,WR,0.0,80.0,116.0,80.0,0.0,875.0,875.0,0.0,7.0,7.0,0.0,80.763,80.763,1.01,10.938,0.69,87500.0,700.0,11600.0,12.151,0.0,0.0
2011,00-0017915,R.Williams,BAL,RB,108.0,13.0,20.0,121.0,444.0,83.0,527.0,2.0,0.0,2.0,-11.811,5.161,-6.651,-0.055,4.355,0.65,9.5,5.6,3.7,1.536,0.0,2.0
2011,00-0019641,T.Jones,KC,RB,153.0,5.0,7.0,158.0,478.0,43.0,521.0,0.0,0.0,0.0,-31.453,1.327,-30.126,-0.191,3.297,0.714,10.3,0.0,1.4,-7.118,0.0,0.0
2011,00-0020337,S.Smith,CAR,WR,6.0,79.0,130.0,85.0,56.0,1394.0,1450.0,0.0,7.0,7.0,4.236,101.932,106.168,1.249,17.059,0.608,23.6,15.2,25.3,21.666,2.0,0.0
2011,00-0020498,R.Wayne,,WR,0.0,75.0,131.0,75.0,0.0,960.0,960.0,0.0,4.0,4.0,0.0,81.074,81.074,1.081,12.8,0.573,96000.0,400.0,13100.0,21.504,2.0,0.0
2011,00-0020536,L.Tomlinson,NYJ,RB,75.0,42.0,61.0,117.0,280.0,449.0,729.0,1.0,2.0,3.0,-8.567,20.833,12.266,0.105,6.231,0.689,14.2,7.5,11.3,-0.194,1.0,0.0
2011,00-0021163,J.Gaffney,,WR,0.0,68.0,115.0,68.0,0.0,947.0,947.0,0.0,5.0,5.0,0.0,81.42,81.42,1.197,13.926,0.591,94700.0,500.0,11500.0,25.35,2.0,0.0
2011,00-0021182,M.Morris,DET,RB,82.0,27.0,36.0,109.0,319.0,241.0,560.0,1.0,1.0,2.0,-9.011,7.638,-1.374,-0.013,5.138,0.75,8.5,3.9,5.4,-1.493,0.0,0.0
2011,00-0021192,D.Branch,,WR,0.0,51.0,90.0,51.0,0.0,702.0,702.0,0.0,5.0,5.0,0.0,61.27,61.27,1.201,13.765,0.567,70200.0,500.0,9000.0,2.212,1.0,0.0
2011,00-0021547,A.Gates,,WR,0.0,64.0,88.0,64.0,0.0,778.0,778.0,0.0,7.0,7.0,0.0,84.682,84.682,1.323,12.156,0.727,77800.0,700.0,8800.0,31.403,3.0,0.0
