season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2009,00-0004541,D.Driver,GB,WR,1.0,70.0,112.0,71.0,13.0,1061.0,1074.0,0.0,6.0,6.0,0.869,81.579,82.448,1.161,15.127,0.625,17.3,12.5,20.3,15.342,0.0,0.0
2009,00-0005091,K.Faulk,NE,RB,62.0,37.0,53.0,99.0,335.0,301.0,636.0,2.0,1.0,3.0,3.841,12.822,16.662,0.168,6.424,0.698,9.9,6.4,9.0,3.37,1.0,0.0
2009,00-0006101,T.Gonzalez,,WR,0.0,83.0,135.0,83.0,0.0,867.0,867.0,0.0,6.0,6.0,0.0,91.712,91.712,1.105,10.446,0.615,86700.0,600.0,13500.0,12.684,1.0,0.0
2009,00-0007681,T.Holt,,WR,0.0,51.0,103.0,51.0,0.0,722.0,722.0,0.0,0.0,0.0,0.0,53.361,53.361,1.046,14.157,0.495,72200.0,0.0,10300.0,10.131,0.0,0.0
2009,00-0010500,D.Mason,BAL,WR,1.0,73.0,134.0,74.0,2.0,1028.0,1030.0,0.0,7.0,7.0,-0.361,91.837,91.476,1.236,13.919,0.545,17.8,16.3,26.5,26.909,2.0,0.0
2009,00-0011754,R.Moss,,WR,0.0,83.0,140.0,83.0,0.0,1264.0,1264.0,0.0,13.0,13.0,0.0,111.335,111.335,1.341,15.229,0.593,126400.0,1300.0,14000.0,15.777,4.0,0.0
2009,00-0011795,M.Muhammad,,WR,0.0,53.0,89.0,53.0,0.0,581.0,581.0,0.0,1.0,1.0,0.0,44.727,44.727,0.844,10.962,0.596,58100.0,100.0,8900.0,13.835,1.0,0.0
2009,00-0012478,T.Owens,BUF,WR,6.0,55.0,109.0,61.0,54.0,829.0,883.0,1.0,5.0,6.0,2.406,65.348,67.754,1.111,14.475,0.505,19.9,27.3,25.0,11.927,2.0,0.0
2009,00-0016098,F.Taylor,NE,RB,63.0,2.0,3.0,65.0,269.0,17.0,286.0,4.0,0.0,4.0,-4.409,0.846,-3.564,-0.055,4.4,0.667,4.5,8.5,0.5,-3.378,2.0,1.0
2009,00-0017162,H.Ward,,WR,0.0,95.0,137.0,95.0,0.0,1167.0,1167.0,0.0,6.0,6.0,0.0,85.271,85.271,0.898,12.284,0.693,116700.0,600.0,13700.0,17.747,0.0,0.0
2009,00-0017915,R.Williams,MIA,RB,242.0,35.0,53.0,277.0,1121.0,264.0,1385.0,11.0,2.0,13.0,7.99,14.255,22.246,0.08,5.0,0.66,24.7,35.1,9.9,-12.175,2.0,2.0
2009,00-0019484,S.Morris,NE,RB,73.0,19.0,27.0,92.0,319.0,180.0,499.0,2.0,0.0,2.0,-10.378,12.837,2.459,0.027,5.424,0.704,7.8,4.3,4.6,-11.237,1.0,1.0
2009,00-0019641,T.Jones,NYJ,RB,332.0,10.0,18.0,342.0,1402.0,58.0,1460.0,14.0,0.0,14.0,-0.089,2.266,2.177,0.006,4.269,0.556,27.7,43.8,4.6,-2.833,5.0,0.0
2009,00-0019693,J.Lewis,CLE,RB,144.0,8.0,11.0,152.0,500.0,88.0,588.0,0.0,0.0,0.0,-21.914,6.393,-15.521,-0.102,3.868,0.727,13.7,0.0,2.5,0.0,0.0,0.0
2009,00-0020270,C.Buckhalter,DEN,RB,120.0,31.0,38.0,151.0,642.0,240.0,882.0,1.0,0.0,1.0,-0.034,2.105,2.071,0.014,5.841,0.816,15.8,3.3,6.8,-0.266,0.0,2.0
2009,00-0020337,S.Smith,CAR,WR,5.0,65.0,129.0,70.0,22.0,954.0,976.0,0.0,7.0,7.0,0.457,84.432,84.889,1.213,13.943,0.504,17.7,20.6,28.2,26.371,3.0,0.0
2009,00-0020397,C.Ochocinco,CIN,WR,3.0,72.0,128.0,75.0,32.0,1047.0,1079.0,0.0,9.0,9.0,1.428,96.479,97.907,1.305,14.387,0.562,21.1,31.0,27.3,16.317,3.0,0.0
2009,00-0020438,T.Houshmandzadeh,,WR,0.0,79.0,135.0,79.0,0.0,911.0,911.0,0.0,3.0,3.0,0.0,72.603,72.603,0.919,11.532,0.585,91100.0,300.0,13500.0,14.594,0.0,0.0
2009,00-0020494,S.Moss,WAS,WR,2.0,70.0,120.0,72.0,8.0,902.0,910.0,0.0,3.0,3.0,-0.042,54.403,54.361,0.755,12.639,0.583,17.9,10.3,22.9,17.199,0.0,0.0
2009,00-0020498,R.Wayne,,WR,0.0,100.0,149.0,100.0,0.0,1264.0,1264.0,0.0,10.0,10.0,0.0,117.577,117.577,1.176,12.64,0.671,126400.0,1000.0,14900.0,19.584,1.0,0.0
2009,00-0020516,T.Heap,BAL,WR,1.0,53.0,75.0,54.0,2.0,593.0,595.0,0.0,6.0,6.0,-0.375,53.051,52.676,0.975,11.019,0.707,10.3,14.0,14.8,18.313,4.0,0.0
2009,00-0020536,L.Tomlinson,LAC,RB,223.0,20.0,30.0,243.0,730.0,154.0,884.0,12.0,0.0,12.0,-24.659,3.868,-20.791,-0.086,3.638,0.667,15.0,26.1,5.9,4.08,3.0,1.0
2009,00-0021163,J.Gaffney,,WR,0.0,54.0,87.0,54.0,0.0,732.0,732.0,0.0,2.0,2.0,0.0,62.067,62.067,1.149,13.556,0.621,73200.0,200.0,8700.0,28.916,2.0,0.0
2009,00-0021179,C.Portis,WAS,RB,124.0,9.0,12.0,133.0,494.0,57.0,551.0,1.0,1.0,2.0,-23.854,3.147,-20.707,-0.156,4.143,0.75,10.9,6.9,2.3,0.0,0.0,1.0
2009,00-0021182,M.Morris,DET,RB,93.0,26.0,39.0,119.0,384.0,210.0,594.0,2.0,0.0,2.0,-13.538,15.143,1.605,0.013,4.992,0.667,12.1,8.3,6.8,-4.099,1.0,0.0
