season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2001,00-0000210,J.Allen,CHI,RB,135.0,30.0,42.0,165.0,469.0,196.0,665.0,1.0,1.0,2.0,-12.313,10.655,-1.658,-0.01,4.03,0.714,13.8,6.2,8.0,0.449,0.0,0.0
2001,00-0000232,T.Allen,BAL,RB,168.0,17.0,20.0,185.0,658.0,68.0,726.0,3.0,0.0,3.0,-17.968,-1.871,-19.839,-0.107,3.924,0.85,13.6,11.1,3.7,-4.624,1.0,1.0
2001,00-0000251,M.Alstott,TB,RB,165.0,35.0,52.0,200.0,680.0,231.0,911.0,10.0,1.0,11.0,7.85,3.887,11.737,0.059,4.555,0.673,18.7,36.7,8.9,6.578,2.0,0.0
2001,00-0000316,J.Anderson,ATL,RB,55.0,3.0,4.0,58.0,190.0,111.0,301.0,1.0,1.0,2.0,-10.318,8.07,-2.248,-0.039,5.19,0.75,5.9,7.1,0.8,0.0,0.0,1.0
2001,00-0000339,R.Anderson,NYJ,RB,26.0,40.0,57.0,66.0,102.0,252.0,354.0,0.0,2.0,2.0,-0.756,0.08,-0.677,-0.01,5.364,0.702,7.3,7.1,12.5,-0.336,0.0,0.0
2001,00-0000552,O.Ayanbadejo,BAL,RB,46.0,24.0,34.0,70.0,173.0,121.0,294.0,1.0,1.0,2.0,-5.789,-0.627,-6.416,-0.092,4.2,0.706,5.5,7.4,6.2,3.453,0.0,1.0
2001,00-0000745,T.Barber,NYG,RB,167.0,72.0,98.0,239.0,865.0,577.0,1442.0,4.0,0.0,4.0,9.313,26.755,36.068,0.151,6.033,0.735,26.6,13.3,17.7,3.798,1.0,1.0
2001,00-0001098,B.Bennett,CIN,RB,50.0,20.0,26.0,70.0,232.0,150.0,382.0,0.0,0.0,0.0,0.61,7.975,8.585,0.123,5.457,0.769,7.8,0.0,4.4,0.379,0.0,0.0
2001,00-0001215,J.Bettis,PIT,RB,225.0,8.0,10.0,233.0,1072.0,48.0,1120.0,4.0,0.0,4.0,-5.577,1.988,-3.589,-0.015,4.807,0.8,19.4,12.9,2.2,0.0,0.0,0.0
2001,00-0001224,T.Biakabutuka,CAR,RB,53.0,12.0,17.0,65.0,230.0,121.0,351.0,1.0,0.0,1.0,-6.131,-1.239,-7.369,-0.113,5.4,0.706,8.1,5.6,3.0,0.0,0.0,1.0
2001,00-0001477,M.Booker,CHI,WR,4.0,100.0,157.0,104.0,8.0,1071.0,1079.0,0.0,8.0,8.0,-3.205,85.13,81.925,0.788,10.375,0.637,22.5,25.0,30.0,21.245,1.0,0.0
2001,00-0001532,D.Boston,ARI,WR,5.0,98.0,175.0,103.0,35.0,1598.0,1633.0,0.0,8.0,8.0,1.18,129.712,130.892,1.271,15.854,0.56,33.0,28.6,34.1,25.373,2.0,0.0
2001,00-0002058,T.Brown,LV,WR,4.0,91.0,140.0,95.0,39.0,1165.0,1204.0,0.0,9.0,9.0,2.47,103.566,106.036,1.116,12.674,0.65,22.8,22.0,26.0,16.081,0.0,0.0
2001,00-0002068,T.Brown,NE,WR,11.0,101.0,142.0,112.0,91.0,1199.0,1290.0,0.0,5.0,5.0,4.179,99.239,103.418,0.923,11.518,0.711,25.5,13.9,29.8,16.022,0.0,0.0
2001,00-0002099,I.Bruce,LA,WR,4.0,64.0,103.0,68.0,23.0,1106.0,1129.0,0.0,6.0,6.0,-3.29,86.076,82.785,1.217,16.603,0.621,16.6,10.5,18.8,19.859,3.0,1.0
2001,00-0002159,S.Bryson,BUF,RB,80.0,9.0,11.0,89.0,341.0,59.0,400.0,2.0,0.0,2.0,-9.328,1.237,-8.091,-0.091,4.494,0.818,7.8,7.4,2.0,-9.601,2.0,0.0
2001,00-0002721,C.Carter,MIN,WR,1.0,73.0,130.0,74.0,4.0,871.0,875.0,0.0,6.0,6.0,0.022,67.832,67.854,0.917,11.824,0.562,17.5,20.7,23.9,8.424,0.0,0.0
2001,00-0002743,K.Carter,WAS,RB,63.0,13.0,21.0,76.0,308.0,83.0,391.0,3.0,0.0,3.0,6.516,1.202,7.719,0.102,5.145,0.619,8.7,13.0,5.0,7.156,2.0,0.0
2001,00-0002846,L.Centers,BUF,RB,34.0,80.0,105.0,114.0,160.0,620.0,780.0,2.0,2.0,4.0,3.414,30.546,33.961,0.298,6.842,0.762,15.2,14.8,19.5,14.515,2.0,0.0
2001,00-0002861,B.Chamberlain,,WR,0.0,57.0,82.0,57.0,0.0,648.0,648.0,0.0,3.0,3.0,0.0,44.148,44.148,0.775,11.368,0.695,64800.0,300.0,8200.0,12.361,1.0,0.0
2001,00-0002962,W.Chrebet,,WR,0.0,56.0,93.0,56.0,0.0,750.0,750.0,0.0,1.0,1.0,0.0,68.2,68.2,1.218,13.393,0.602,75000.0,100.0,9300.0,28.794,0.0,0.0
2001,00-0002970,B.Christian,ATL,RB,44.0,45.0,60.0,89.0,284.0,392.0,676.0,2.0,2.0,4.0,16.096,25.442,41.538,0.467,7.596,0.75,13.3,14.3,12.5,7.086,1.0,0.0
2001,00-0003035,D.Clark,,WR,0.0,51.0,77.0,51.0,0.0,566.0,566.0,0.0,6.0,6.0,0.0,42.313,42.313,0.83,11.098,0.662,56600.0,600.0,7700.0,1.872,1.0,0.0
2001,00-0003396,C.Conway,LAC,WR,7.0,71.0,127.0,78.0,116.0,1125.0,1241.0,1.0,6.0,7.0,7.688,92.494,100.182,1.284,15.91,0.559,24.0,25.0,23.5,27.559,2.0,0.0
2001,00-0003663,Z.Crockett,LV,RB,57.0,2.0,3.0,59.0,145.0,10.0,155.0,6.0,0.0,6.0,3.423,0.065,3.488,0.059,2.627,0.667,2.9,14.6,0.6,1.565,0.0,1.0
2001,00-0004052,S.Davis,WAS,RB,357.0,28.0,37.0,385.0,1432.0,205.0,1637.0,5.0,0.0,5.0,-28.062,8.709,-19.354,-0.05,4.252,0.757,36.2,21.7,8.8,4.704,3.0,3.0
2001,00-0004054,T.Davis,DEN,RB,167.0,12.0,21.0,179.0,701.0,69.0,770.0,0.0,0.0,0.0,-7.334,-0.124,-7.459,-0.042,4.302,0.571,15.7,0.0,4.2,-4.502,0.0,0.0
2001,00-0004304,C.Dillon,CIN,RB,340.0,34.0,61.0,374.0,1315.0,228.0,1543.0,10.0,3.0,13.0,-33.916,14.912,-19.004,-0.051,4.126,0.557,31.3,56.5,10.4,5.055,4.0,3.0
2001,00-0004640,W.Dunn,TB,RB,157.0,68.0,97.0,225.0,434.0,557.0,991.0,3.0,3.0,6.0,-42.967,26.993,-15.974,-0.071,4.404,0.701,20.3,20.0,16.6,-0.999,1.0,2.0
