season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2019,00-0022127,J.Witten,,TE,0.0,63.0,85.0,63.0,0.0,529.0,529.0,0.0,4.0,4.0,0.0,35.566,35.566,0.565,8.397,0.741,52900.0,400.0,8500.0,6.482,1.0,0.0
2019,00-0022921,L.Fitzgerald,,WR,0.0,75.0,109.0,75.0,0.0,804.0,804.0,0.0,4.0,4.0,0.0,54.732,54.732,0.73,10.72,0.688,80400.0,400.0,10900.0,12.893,1.0,0.0
2019,00-0023500,F.Gore,BUF,RB,166.0,13.0,16.0,179.0,599.0,100.0,699.0,2.0,0.0,2.0,-32.828,3.841,-28.987,-0.162,3.905,0.812,13.4,6.5,3.3,-6.343,0.0,0.0
2019,00-0025394,A.Peterson,WAS,RB,211.0,17.0,23.0,228.0,898.0,142.0,1040.0,5.0,0.0,5.0,-25.583,2.717,-22.866,-0.1,4.561,0.739,22.2,19.2,4.9,-8.772,3.0,1.0
2019,00-0025418,G.Olsen,,WR,0.0,52.0,83.0,52.0,0.0,597.0,597.0,0.0,2.0,2.0,0.0,45.678,45.678,0.878,11.481,0.627,59700.0,200.0,8300.0,1.978,0.0,0.0
2019,00-0026035,D.Amendola,,WR,0.0,62.0,97.0,62.0,0.0,678.0,678.0,0.0,1.0,1.0,0.0,54.103,54.103,0.873,10.935,0.639,67800.0,100.0,9700.0,17.205,0.0,0.0
2019,00-0027029,L.McCoy,KC,RB,101.0,28.0,34.0,129.0,465.0,158.0,623.0,4.0,1.0,5.0,-5.831,-1.473,-7.304,-0.057,4.829,0.824,10.3,11.4,6.1,-2.243,0.0,1.0
2019,00-0027150,J.Edelman,NE,WR,8.0,100.0,154.0,108.0,27.0,1117.0,1144.0,0.0,6.0,6.0,1.197,79.68,80.877,0.749,10.593,0.649,19.6,14.3,26.1,11.206,1.0,0.0
2019,00-0027685,E.Sanders,,WR,0.0,66.0,98.0,66.0,0.0,869.0,869.0,0.0,5.0,5.0,0.0,68.524,68.524,1.038,13.167,0.673,86900.0,500.0,9800.0,17.752,1.0,0.0
2019,00-0027891,G.Tate,NYG,WR,1.0,49.0,85.0,50.0,16.0,670.0,686.0,0.0,6.0,6.0,1.032,61.196,62.228,1.245,13.72,0.576,12.4,15.0,14.3,17.255,2.0,0.0
