season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2023,00-0030035,A.Thielen,CAR,TE,1.0,103.0,138.0,104.0,6.0,1014.0,1020.0,0.0,4.0,4.0,0.236,89.324,89.561,0.861,9.808,0.746,21.5,20.0,25.8,20.108,0.0,0.0
2023,00-0030279,K.Allen,LAC,WR,2.0,108.0,150.0,110.0,6.0,1243.0,1249.0,0.0,7.0,7.0,0.154,105.656,105.81,0.962,11.355,0.72,22.1,20.6,24.4,6.624,0.0,0.0
2023,00-0030506,T.Kelce,,WR,0.0,93.0,121.0,93.0,0.0,984.0,984.0,0.0,5.0,5.0,0.0,74.644,74.644,0.803,10.581,0.769,98400.0,500.0,12100.0,9.705,0.0,0.0
2023,00-0030513,L.Murray,BUF,RB,79.0,17.0,22.0,96.0,300.0,119.0,419.0,4.0,0.0,4.0,-2.562,8.762,6.199,0.065,4.365,0.773,6.8,8.7,4.0,-1.417,1.0,0.0
2023,00-0030564,D.Hopkins,TEN,WR,1.0,75.0,138.0,76.0,4.0,1057.0,1061.0,0.0,7.0,7.0,0.25,82.368,82.618,1.087,13.961,0.543,20.3,23.3,28.7,20.615,2.0,0.0
2023,00-0030578,C.Patterson,ATL,RB,50.0,9.0,12.0,59.0,181.0,38.0,219.0,0.0,1.0,1.0,-7.982,0.811,-7.172,-0.122,3.712,0.75,3.9,3.3,2.3,-5.339,1.0,0.0
2023,00-0031236,B.Cooks,DAL,WR,5.0,54.0,82.0,59.0,35.0,657.0,692.0,0.0,8.0,8.0,1.71,70.077,71.786,1.217,11.729,0.659,10.8,16.3,13.5,19.607,3.0,0.0
2023,00-0031260,L.Thomas,WAS,TE,1.0,55.0,79.0,56.0,2.0,496.0,498.0,0.0,4.0,4.0,0.511,27.547,28.058,0.501,8.893,0.696,9.0,11.4,13.1,5.863,1.0,0.0
2023,00-0031381,D.Adams,,WR,0.0,103.0,175.0,103.0,0.0,1144.0,1144.0,0.0,8.0,8.0,0.0,96.825,96.825,0.94,11.107,0.589,114400.0,800.0,17500.0,24.371,4.0,0.0
2023,00-0031408,M.Evans,,WR,0.0,79.0,137.0,79.0,0.0,1255.0,1255.0,0.0,13.0,13.0,0.0,116.195,116.195,1.471,15.886,0.577,125500.0,1300.0,13700.0,23.504,3.0,0.0
2023,00-0031544,A.Cooper,,WR,0.0,72.0,130.0,72.0,0.0,1250.0,1250.0,0.0,5.0,5.0,0.0,108.198,108.198,1.503,17.361,0.554,125000.0,500.0,13000.0,37.588,3.0,0.0
2023,00-0031588,S.Diggs,BUF,WR,1.0,107.0,161.0,108.0,5.0,1183.0,1188.0,0.0,8.0,8.0,0.873,90.275,91.148,0.844,11.0,0.665,19.2,17.4,29.4,15.356,0.0,0.0
2023,00-0031610,D.Waller,,WR,0.0,52.0,74.0,52.0,0.0,552.0,552.0,0.0,1.0,1.0,0.0,41.232,41.232,0.793,10.615,0.703,55200.0,100.0,7400.0,11.218,0.0,0.0
2023,00-0031687,R.Mostert,MIA,RB,209.0,25.0,32.0,234.0,1012.0,175.0,1187.0,18.0,3.0,21.0,17.18,6.994,24.174,0.103,5.073,0.781,17.1,36.8,5.8,1.049,5.0,1.0
