season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2001,00-0000722,T.Banks,WAS,15,445,372,29,18,26,-0.1202,-53.51,4.895,,2386,122,8,2516,10,0,2,0,12,10,5,15,55.7,48.0,-0.718,0.382,0.1213,-27.87,2,142,-0.1963,8,0.5,9.143,0.0,0
2001,00-0000865,C.Batch,DET,10,383,344,33,2,4,-0.0619,-23.7,5.082,,2392,15,7,2414,12,0,0,0,12,12,5,17,46.6,38.7,-0.64,0.4178,0.1305,0.0,0,0,0.0,2,0.125,10.0,0.0,0
2001,00-0001823,A.Brooks,NO,16,674,560,50,28,36,-0.0447,-30.11,4.97,,3832,245,32,4109,26,0,0,0,26,22,7,29,78.6,72.2,-0.983,0.3887,0.1291,-44.38,7,166,-0.2673,7,0.4375,11.483,0.0,0
2001,00-0002110,M.Brunell,JAX,15,563,474,57,20,12,-0.256,-144.13,5.117,,3309,167,6,3482,19,1,0,0,20,13,5,18,69.5,60.6,-1.253,0.4298,0.1439,-47.35,6,155,-0.3055,6,0.375,10.5,0.0,0
2001,00-0002876,C.Chandler,ATL,14,427,366,41,7,13,0.0346,14.76,5.592,,2847,62,1,2910,16,0,0,0,16,14,1,15,57.3,50.0,0.33,0.4426,0.1382,7.98,4,100,0.0798,7,0.4375,11.64,0.0,0
2001,00-0003292,K.Collins,NYG,16,640,568,36,8,28,-0.0328,-20.96,5.328,,3764,47,18,3829,19,0,0,0,19,16,6,22,69.8,57.6,-0.984,0.4219,0.1016,4.03,5,190,0.0212,7,0.4375,10.5,0.0,0
2001,00-0003535,T.Couch,CLE,16,525,454,51,3,17,-0.1407,-73.84,4.123,,3040,22,-14,3048,17,0,0,0,17,21,5,26,69.9,56.7,-3.006,0.3848,0.1676,-21.02,4,132,-0.1593,7,0.4375,10.179,0.0,0
2001,00-0003739,D.Culpepper,MIN,11,460,368,33,30,29,-0.0176,-8.08,5.289,,2612,216,80,2908,14,2,1,0,17,13,10,23,57.9,45.9,-0.282,0.4609,0.137,0.0,0,0,0.0,5,0.3125,10.741,1.0,0
2001,00-0003761,R.Cunningham,BAL,5,116,93,12,0,11,-0.0124,-1.44,4.543,,573,0,15,588,3,0,0,0,3,2,0,2,11.0,9.4,0.031,0.3966,0.1638,0.0,0,0,0.0,10,0.625,10.1,0.0,0
2001,00-0004230,T.Detmer,DET,4,172,152,12,4,4,-0.2434,-41.86,2.689,,906,24,-2,928,3,0,0,0,3,10,2,12,17.9,9.7,-0.371,0.4302,0.157,-19.78,2,104,-0.1902,2,0.125,10.0,0.0,0
2001,00-0004293,T.Dilfer,SEA,6,143,123,10,3,7,0.147,21.02,6.782,,1014,19,-4,1029,7,0,0,0,7,4,0,4,20.9,21.9,0.45,0.4126,0.1329,12.63,5,70,0.1804,9,0.5625,11.148,0.0,0
2001,00-0005106,B.Favre,GB,16,564,512,22,4,26,0.1079,60.84,6.994,,3921,31,10,3962,32,1,0,0,33,15,6,21,71.2,70.2,0.029,0.4699,0.1011,5.87,7,139,0.0422,12,0.75,13.929,0.0,0
2001,00-0005180,J.Fiedler,MIA,16,540,450,27,28,35,0.0594,32.07,5.57,,3290,174,55,3519,20,2,2,0,24,19,11,30,74.4,61.5,0.628,0.4685,0.1296,-10.09,5,138,-0.0731,11,0.6875,11.862,0.0,0
2001,00-0005363,D.Flutie,LAC,16,584,522,25,20,17,0.0143,8.35,5.093,,3464,110,-6,3568,15,0,0,0,15,18,6,24,69.1,50.0,-0.638,0.4178,0.1045,0.07,3,131,0.0005,0,0.0,0.0,0.0,0
2001,00-0005741,R.Gannon,LV,16,630,549,27,29,25,0.1447,91.18,6.611,,3828,173,4,4005,27,0,2,0,29,9,7,16,75.7,69.0,1.42,0.4857,0.0937,1.21,5,178,0.0068,0,0.0,0.0,0.0,0
2001,00-0005755,J.Garcia,SF,16,576,506,26,14,30,0.1157,66.63,6.624,,3538,91,7,3636,32,3,2,0,37,12,5,17,65.4,72.5,1.447,0.4583,0.1024,26.13,9,113,0.2312,12,0.75,15.148,0.0,0
2001,00-0006300,E.Grbac,BAL,14,512,466,28,5,13,-0.1288,-65.93,4.672,,3033,20,-7,3046,15,1,0,0,16,18,8,26,56.9,50.0,-2.151,0.4102,0.1211,-38.23,4,149,-0.2566,10,0.625,10.1,0.0,0
2001,00-0006355,T.Green,KC,16,587,524,39,13,11,-0.0581,-34.08,5.053,,3783,56,-4,3835,17,0,0,0,17,24,7,31,67.3,50.0,-1.656,0.4191,0.1261,8.71,5,135,0.0645,6,0.375,11.852,1.5,0
2001,00-0006423,B.Griese,DEN,15,526,454,38,5,29,-0.0698,-36.74,4.453,,2827,51,14,2892,23,0,0,0,23,19,4,23,58.9,63.9,-1.216,0.4392,0.1483,-18.71,2,69,-0.2712,8,0.5,12.143,0.0,0
2001,00-0007091,M.Hasselbeck,SEA,13,395,321,38,15,21,-0.0583,-23.02,4.323,,2023,110,-2,2131,7,0,0,0,7,8,3,11,43.3,21.9,-0.547,0.3772,0.1468,-0.28,1,59,-0.0047,9,0.5625,11.148,0.0,0
2001,00-0008442,B.Johnson,TB,16,638,562,44,10,22,0.0152,9.72,4.789,,3406,71,15,3492,13,0,3,0,16,11,5,16,71.6,53.3,-1.019,0.4373,0.1034,-22.83,4,108,-0.2114,9,0.5625,11.172,0.0,0
2001,00-0008612,R.Johnson,BUF,8,272,217,31,16,8,-0.123,-33.46,4.25,,1465,136,4,1605,5,0,1,0,6,7,4,11,31.2,18.8,-0.79,0.3897,0.1654,0.0,0,0,0.0,3,0.1875,9.815,0.0,0
2001,00-0009311,J.Kitna,CIN,16,630,582,25,7,16,-0.0731,-46.06,3.758,,3216,56,4,3276,12,0,1,0,13,22,5,27,66.5,56.5,-1.919,0.4159,0.0952,-11.8,2,182,-0.0648,6,0.375,7.29,0.0,0
