season,passer_id,player_name,team,games,dropbacks,epa_per_db,total_epa,any_a,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,team_wins,pts_per_drive,total_plays,epa_per_play,pass_att,sacks,scrambles,designed_runs,late_epa,late_tds,late_plays,late_epa_per_play,pct_team_yards,pct_team_tds,wpa_total,close_epa,close_epa_per_play,wins_vs_top10,wins_vs_top10_x,wins_vs_top10_y,success_rate,negative_play_rate,cpoe,win_pct,offensive_allpros_nqb
2022,00-0036898,D.Mills,HOU,15,,,-72.01,4.969,3118,106,11,3235,17,2,0,0,19,15,3,18,3,11.115,535.0,-0.1346,480.0,31.0,17.0,7.0,-9.4,7.0,167.0,-0.0563,64.7,54.3,-1.67,,,0.0,,,0.372,0.0916,-3.7768,0.1765,0.0
2022,00-0033077,D.Prescott,DAL,12,,,44.89,6.085,2860,75,116,3051,23,0,1,0,24,15,2,17,12,16.679,450.0,0.0997,394.0,20.0,15.0,21.0,1.38,10.0,217.0,0.0064,49.7,43.6,1.258,,,0.0,,,0.5111,0.0822,0.0204,0.7059,0.0
2022,00-0038122,D.Ridder,ATL,4,,,-16.0,5.766,708,61,4,773,2,0,0,0,2,0,4,4,7,14.038,139.0,-0.1151,115.0,9.0,11.0,4.0,-16.0,2.0,139.0,-0.1151,14.3,5.9,-0.522,,,0.0,,,0.3957,0.0935,-1.3212,0.4118,0.0
2022,00-0033537,D.Watson,CLE,6,,,-17.24,4.846,1102,97,83,1282,7,0,1,0,8,5,1,6,7,13.37,215.0,-0.0802,168.0,20.0,12.0,15.0,-6.07,8.0,188.0,-0.0323,21.7,21.1,-0.685,,,0.0,,,0.4279,0.1209,-3.3267,0.4118,0.5
2022,00-0030565,G.Smith,SEA,17,,,15.94,6.525,4282,306,72,4660,30,0,1,0,31,11,8,19,9,15.074,675.0,0.0236,573.0,46.0,33.0,23.0,-29.95,8.0,210.0,-0.1426,77.3,70.5,0.735,,,0.0,,,0.4904,0.1022,5.6222,0.5294,0.0
2022,00-0034857,J.Allen,BUF,16,,,146.93,6.985,4283,506,281,5070,35,2,5,0,42,14,7,21,13,18.2,708.0,0.2075,567.0,33.0,51.0,57.0,23.23,12.0,164.0,0.1417,83.9,82.4,3.41,,,0.0,,,0.5282,0.0847,1.0026,0.8125,1.0
2022,00-0033119,J.Brissett,CLE,14,,,37.44,6.184,2608,199,48,2855,12,2,0,0,14,6,6,12,7,13.37,435.0,0.0861,367.0,24.0,23.0,21.0,0.25,0.0,3.0,0.0845,48.3,36.8,0.715,,,0.0,,,0.4713,0.0828,2.8882,0.4118,0.5
2022,00-0036442,J.Burrow,CIN,16,,,104.4,6.722,4475,203,75,4753,35,1,4,0,40,12,5,17,12,14.414,704.0,0.1483,610.0,41.0,27.0,26.0,3.32,10.0,184.0,0.018,81.0,78.4,2.829,,,0.0,,,0.5043,0.0838,2.7299,0.75,0.0
2022,00-0036945,J.Fields,CHI,15,,,-11.18,4.584,2242,642,510,3394,17,2,6,0,25,11,6,17,3,13.583,528.0,-0.0212,322.0,55.0,66.0,85.0,-31.11,4.0,110.0,-0.2828,68.3,64.1,-0.431,,,0.0,,,0.4318,0.1515,-2.4807,0.1765,0.0
2022,00-0026158,J.Flacco,NYJ,5,,,-29.95,4.726,1051,7,0,1058,5,0,0,0,5,3,5,8,7,11.84,203.0,-0.1475,191.0,10.0,1.0,1.0,-7.15,0.0,37.0,-0.1934,18.9,17.9,-0.505,,,0.0,,,0.3941,0.0887,-4.0901,0.4118,0.0
2022,00-0031345,J.Garoppolo,SF,11,,,63.8,7.598,2437,11,28,2476,16,0,2,0,18,4,5,9,13,17.308,344.0,0.1855,308.0,18.0,3.0,15.0,0.0,0.0,0.0,0.0,38.8,35.3,0.979,,,0.0,,,0.5058,0.0785,-1.0455,0.7647,0.0
2022,00-0033106,J.Goff,DET,17,,,92.68,7.454,4438,79,4,4521,29,0,0,0,29,7,5,12,9,18.12,630.0,0.1471,587.0,23.0,15.0,5.0,50.81,10.0,193.0,0.2632,68.9,52.7,2.504,,,0.0,,,0.4841,0.0556,-1.4849,0.5294,0.0
