season,player_id,player_name,team,position,total_epa,epa_per_play,total_tds,total_yards,turnovers,pct_team_yards,pct_team_tds,team_wins,pts_per_drive,late_epa,late_tds,any_a,late_epa_per_play,scrimmage_yards,target_share,yards_per_touch,total_touches,last_name,z_total_epa,z_epa_per_play,z_total_tds,z_total_yards,z_turnovers,z_pct_team_yards,z_pct_team_tds,z_team_wins,z_pts_per_drive,z_late_epa,z_late_tds,raw_index,mvp_index,top_qb_index,top_qb_name,nonqb_vs_topqb_pct
2025,00-0035676,A.Brown,,WR,84.19000244140625,1.079,7.0,1003.0,0.0,100300.0,700.0,0.0,0.0,26.187000274658203,1.0,0,1.342923091008113,1003.0,12100.0,12.859,78.0,brown,0.6694073638711312,0.9003204777835191,-0.30134961295317436,-0.49494526259199323,0.5099492768481745,1.7228074468847954,1.611297728038261,-1.3448183147792894,-1.5538525436395279,0.7156397244733009,-0.6584674310151726,-0.23639190672410126,25.8,100.0,D.Maye,25.8
2025,00-0040122,A.Jeanty,LV,RB,-49.95500183105469,-0.155,10.0,1321.0,1.0,29.4,40.0,3.0,8.31,-18.725000381469727,2.0,0,-0.2326087003909283,1321.0,14.7,4.102,322.0,jeanty,-2.3104787622189273,-1.478350809453735,0.4339434426525707,0.3246678673174725,-0.7343269586613712,-0.5787826162029666,-0.4654000400552286,-0.7186052063706126,-0.45695817473290384,-2.0573222159506943,-0.1435121324007428,-0.4658516695378963,14.3,100.0,D.Maye,14.3
2025,00-0038120,B.Hall,NYJ,RB,-3.3550000190734863,-0.012,5.0,1415.0,2.0,31.8,20.8,3.0,12.5,-5.729000091552734,1.0,0,-0.08213620202942988,1415.0,10.1,5.072,279.0,hall,-1.275310142795342,-1.2027025160380727,-0.7915449833570044,0.5669434465988868,-1.9786031941709168,-0.5787275271125312,-0.5258130660361301,-0.7186052063706126,0.09610890176754786,-1.254921662530637,-0.6584674310151726,-0.6631558024302919,4.5,100.0,D.Maye,4.5
2025,00-0038542,B.Robinson,ATL,RB,39.98699951171875,0.109,11.0,2298.0,2.0,39.8,31.4,8.0,14.708,4.8429999351501465,4.0,0,0.052784740437603776,2298.0,19.7,6.262,367.0,robinson,-0.3125145189159359,-0.9694616523786661,0.6790411278544857,2.8427874519764287,-1.9786031941709168,-0.57854389681108,-0.4924600412758407,0.32508330764384863,0.38755809148425374,-0.6021840137969099,0.8863984648281169,0.35338373294471437,55.3,100.0,D.Maye,55.3
2025,00-0038597,C.Brown,CIN,RB,14.866999626159668,0.049,11.0,1433.0,0.0,24.9,23.4,6.0,17.25,13.644000053405762,8.0,0,0.18071523249544055,1433.0,14.6,4.745,302.0,brown,-0.8705281367344904,-1.0851182789866363,0.6790411278544857,0.6133366426314981,0.5099492768481745,-0.5788859082475329,-0.5176321354345497,-0.09239209796193588,0.7230942510222367,-0.058791646299248004,2.9462196592858363,0.6863188086397638,71.9,100.0,D.Maye,71.9
2025,00-0036358,C.Lamb,DAL,WR,85.43399810791016,1.124,3.0,1079.0,0.0,16.1,6.2,7.0,18.115,24.32200050354004,0.0,0,1.280105289660002,1079.0,19.2,14.197,76.0,lamb,0.6970413816091452,0.987062947739497,-1.2817403537608343,-0.2990628793431901,0.5099492768481745,-0.5790879015791294,-0.571752137875774,0.11634560484095638,0.8372715830444061,0.6004906928412731,-1.1734227296296025,-0.2860268626495874,23.3,100.0,D.Maye,23.3
2025,00-0033280,C.McCaffrey,SF,RB,48.1349983215332,0.117,17.0,2106.0,0.0,35.4,36.2,12.0,19.0,8.173999786376953,4.0,0,0.07916706814892933,2106.0,23.3,5.099,413.0,mccaffrey,-0.13151554142550884,-0.9540407688309367,2.1496272390659756,2.3479266942952415,0.5099492768481745,-0.5786448934768781,-0.4773567847806153,1.1600341188554177,0.9540888533792272,-0.39652103561582913,0.8863984648281169,0.8323981559333166,79.2,100.0,D.Maye,79.2
2025,00-0037239,C.Olave,NO,WR,95.08200073242188,0.941,9.0,1160.0,0.0,21.5,34.6,6.0,13.304,36.8849983215332,4.0,0,1.4607920127339882,1160.0,27.5,11.485,101.0,olave,0.9113613208509311,0.6343102365851876,0.18884575745065565,-0.0902934971964394,0.5099492768481745,-0.5789639511256498,-0.48239120361235716,-0.09239209796193588,0.202234421936131,1.3761567575453293,0.8863984648281169,0.3786095166611052,56.6,100.0,D.Maye,56.6
2025,00-0034348,C.Sutton,,WR,100.54399871826172,1.359,7.0,1017.0,0.0,101700.0,700.0,0.0,0.0,28.507999420166016,2.0,0,1.5409729416305955,1017.0,12500.0,13.743,74.0,sutton,1.0326936962681896,1.440051401954047,-0.30134961295317436,-0.45886166567774006,0.5099492768481745,1.754942749638772,1.611297728038261,-1.3448183147792894,-1.5538525436395279,0.8589431222339088,-0.1435121324007428,-0.03445070343560424,35.9,100.0,D.Maye,35.9
2025,00-0039040,D.Achane,MIA,RB,31.46500015258789,0.103,12.0,1831.0,0.0,34.6,32.4,7.0,13.88,8.666999816894531,2.0,0,0.11366557136910861,1831.0,18.3,6.003,305.0,achane,-0.5018215139438212,-0.9810273150394632,0.9241388130564007,1.639141754908125,0.5099492768481745,-0.5786632565070233,-0.4893135295060021,0.11634560484095638,0.2782646453404891,-0.36608217069595644,-0.1435121324007428,0.11905168118739681,43.6,100.0,D.Maye,43.6
2025,00-0031381,D.Adams,,WR,81.74800109863281,1.362,14.0,789.0,0.0,78900.0,1400.0,0.0,0.0,7.333000183105469,0.0,0,0.4888666788736979,789.0,11400.0,13.15,60.0,adams,0.615160946267358,1.4458342332844456,1.4143341834602308,-1.0465088154241495,0.5099492768481745,1.2315963905025846,3.813855966925295,-1.3448183147792894,-1.5538525436395279,-0.4484461304170849,-1.1734227296296025,0.03793676866269252,39.5,100.0,D.Maye,39.5
2025,00-0032764,D.Henry,BAL,RB,16.53499984741211,0.051,16.0,1745.0,3.0,30.9,35.6,8.0,16.96,22.15900039672852,6.0,0,0.2752670856736462,1745.0,5.1,5.419,322.0,henry,-0.8334753165822777,-1.0812630580997038,1.9045295538640608,1.4174853738634268,-3.222879429680462,-0.5787481855214445,-0.47924469184251856,0.32508330764384863,0.6848151454887926,0.46694249000691535,1.9163090620569765,0.7377123529204848,74.5,100.0,D.Maye,74.5
2025,00-0037238,D.London,,WR,75.81300354003906,1.115,7.0,919.0,0.0,91900.0,700.0,0.0,0.0,13.008999824523926,1.0,0,0.7652352837955251,919.0,11300.0,13.515,68.0,london,0.4833213971231292,0.9697144537483012,-0.30134961295317436,-0.7114468440775125,0.5099492768481745,1.529995630360937,1.611297728038261,-1.3448183147792894,-1.5538525436395279,-0.09799790389466874,-0.6584674310151726,-0.29177145891922807,23.0,100.0,D.Maye,23.0
2025,00-0035719,D.Samuel,WAS,WR,61.04100036621094,0.686,6.0,802.0,0.0,15.5,16.2,5.0,15.478,13.14900016784668,0.0,0,0.5909662996785024,802.0,23.0,9.011,89.0,samuel,0.15517732980592744,0.14276957350131433,-0.5464472981550894,-1.0130026182894858,0.5099492768481745,-0.5791016738517382,-0.5402870201773878,-0.30112980076482815,0.48919571652132954,-0.08935398650045843,-1.1734227296296025,-0.4221055149467354,16.5,100.0,D.Maye,16.5
2025,00-0034383,D.Schultz,,TE,59.14699935913086,0.721,3.0,777.0,0.0,77700.0,300.0,0.0,0.0,15.58899974822998,2.0,0,0.7604390121087795,777.0,10700.0,9.476,82.0,schultz,0.11310414672759807,0.21023593902263013,-1.2817403537608343,-1.0774376127792236,0.5099492768481745,1.2040518452848905,0.3526930201028127,-1.3448183147792894,-1.5538525436395279,0.06129674987750862,-0.1435121324007428,-0.5609876330068628,9.6,100.0,D.Maye,9.6
2025,00-0036912,D.Smith,,WR,89.19000244140625,1.158,4.0,1008.0,0.0,100800.0,400.0,0.0,0.0,16.232999801635742,1.0,0,0.8432727169680905,1008.0,11400.0,13.091,77.0,smith,0.7804769539110865,1.0526017028173464,-1.0366426685589194,-0.4820582636940457,0.5099492768481745,1.7342843407255013,0.6673441970866747,-1.3448183147792894,-1.5538525436395279,0.1010586756798841,-0.6584674310151726,-0.42123717579933934,16.6,100.0,D.Maye,16.6
2025,00-0036275,D.Swift,CHI,RB,27.44300079345703,0.107,10.0,1377.0,2.0,22.7,22.2,11.0,16.333,12.94499969482422,4.0,0,0.2014785944719723,1377.0,9.0,5.358,257.0,swift,-0.5911658779357467,-0.9733168732655985,0.4339434426525707,0.46900225497448533,-1.9786031941709168,-0.578936406580432,-0.5214079495583561,0.9512964160525255,0.6020530793871733,-0.10194940730682563,0.8863984648281169,0.24083583525984203,49.7,100.0,D.Maye,49.7
2025,00-0040129,E.Egbuka,TB,WR,73.77400207519531,1.118,6.0,947.0,0.0,17.8,15.8,8.0,14.074,11.845000267028809,0.0,0,0.717878804062352,947.0,23.5,14.348,66.0,egbuka,0.43802718576491645,0.9754972850787,-0.5464472981550894,-0.6392796502490061,0.5099492768481745,-0.5790488801400709,-0.5415456248853232,0.32508330764384863,0.3038720469732068,-0.16986569923778114,-1.1734227296296025,-0.24412078117313507,25.4,100.0,D.Maye,25.4
2025,00-0037247,G.Pickens,,WR,138.57000732421875,1.49,9.0,1429.0,0.0,142900.0,900.0,0.0,0.0,27.854999542236328,1.0,0,1.1980644964402722,1429.0,13700.0,15.366,93.0,pickens,1.8774003336120821,1.6925683700481151,0.18884575745065565,0.6030270435131401,0.5099492768481745,2.700638802112935,2.240600082005985,-1.3448183147792894,-1.5538525436395279,0.8186255282245786,-0.6584674310151726,0.14691862888102608,45.0,100.0,D.Maye,45.0
2025,00-0040663,H.Fannin,CLE,WR,41.90700149536133,0.53,7.0,744.0,1.0,16.5,28.0,5.0,9.964,15.133999824523926,4.0,0,0.7662784721277938,744.0,20.6,9.418,79.0,fannin,-0.2698637522761195,-0.1579376556794083,-0.30134961295317436,-1.1624918055056777,-0.7343269586613712,-0.5790787200640568,-0.503158181293292,-0.30112980076482815,-0.2386352762766396,0.03320409194866257,0.8863984648281169,-0.0894742139522425,33.1,100.0,D.Maye,33.1
2025,00-0036900,J.Chase,CIN,WR,109.80799865722656,0.858,8.0,1426.0,0.0,24.8,17.0,6.0,17.25,39.65800094604492,3.0,0,1.2393125295639038,1426.0,30.3,11.141,128.0,chase,1.238483431338389,0.4743185697774955,-0.056251927751259354,0.5952948441743715,0.5099492768481745,-0.5788882036263011,-0.5377698107615169,-0.09239209796193588,0.7230942510222367,1.5473678063993213,0.37144316621368706,0.32057858939696793,53.7,100.0,D.Maye,53.7
2025,00-0037248,J.Cook,BUF,RB,19.18400001525879,0.056,14.0,1912.0,3.0,30.7,25.0,12.0,20.913,4.013000011444092,5.0,0,0.04693567264846891,1912.0,8.2,5.591,342.0,cook,-0.7746306440505769,-1.071625005882373,1.4143341834602308,1.8479111370548758,-3.222879429680462,-0.5787527762789807,-0.512597716602808,1.1600341188554177,1.2065989529843262,-0.6534299651098733,1.4013537634425468,0.6565994959755537,70.5,100.0,D.Maye,70.5
2025,00-0038041,J.Ferguson,DAL,TE,35.957000732421875,0.433,8.0,601.0,0.0,9.0,16.7,7.0,18.115,3.07699990272522,1.0,0,0.14828915193856482,601.0,16.9,7.241,83.0,ferguson,-0.40203658137154075,-0.3449158686956269,-0.056251927751259354,-1.5310599739869781,0.5099492768481745,-0.5792508734716674,-0.5387137642924685,0.11634560484095638,0.8372715830444061,-0.7112205921091632,-0.6584674310151726,-0.27482630860669005,23.9,100.0,D.Maye,23.9
2025,00-0039139,J.Gibbs,DET,RB,27.209999084472656,0.085,18.0,1836.0,1.0,28.0,32.1,9.0,17.815,-4.882999897003174,5.0,0,-0.061037498712539676,1836.0,17.1,5.738,320.0,gibbs,-0.5963417587948474,-1.0157243030218541,2.3947249242678907,1.6520287538060727,-0.7343269586613712,-0.5788147515057206,-0.4902574830369537,0.5338210104467409,0.7976725083546367,-1.202687820644167,1.4013537634425468,0.7751756932767946,76.4,100.0,D.Maye,76.4
2025,00-0035700,J.Jacobs,GB,RB,2.220999956130981,0.008,14.0,1211.0,2.0,21.5,32.6,9.0,17.0,-9.258000373840332,3.0,0,-0.13715556109393084,1211.0,9.5,4.485,270.0,jacobs,-1.1514453365335897,-1.1641503071687493,1.4143341834602308,0.041153891562625854,-1.9786031941709168,-0.5789639511256498,-0.4886842271520344,0.5338210104467409,0.6900950221140951,-1.472809606233137,0.37144316621368706,0.15688349535348606,45.5,100.0,D.Maye,45.5
2025,00-0036322,J.Jefferson,MIN,WR,80.32099914550781,0.934,2.0,1055.0,0.0,21.8,6.5,9.0,13.76,21.52899932861328,0.0,0,1.001348805982013,1055.0,30.1,12.267,86.0,jefferson,0.5834616418833961,0.6208169634809245,-1.5268380389627494,-0.3609204740533385,0.5099492768481745,-0.5789570649893453,-0.5708081843448224,0.5338210104467409,0.2624250154645811,0.4280448911739037,-1.1734227296296025,-0.4140344964957707,16.9,100.0,D.Maye,16.9
2025,00-0036407,J.Jeudy,CLE,WR,47.7760009765625,0.937,2.0,607.0,0.0,13.5,8.0,5.0,9.964,18.91699981689453,1.0,0,1.4836862601485907,607.0,20.2,11.902,51.0,jeudy,-0.13949027901177452,0.6265997948113231,-1.5268380389627494,-1.5155955753094412,0.5099492768481745,-0.579147581427101,-0.5660884166900645,-0.30112980076482815,-0.2386352762766396,0.26677451513658285,-0.6584674310151726,-0.5567171858982265,9.8,100.0,D.Maye,9.8
