season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2005,00-0000251,M.Alstott,TB,RB,35.0,25.0,38.0,60.0,80.0,222.0,302.0,6.0,1.0,7.0,0.856,15.224,16.08,0.268,5.033,0.658,6.1,23.3,8.0,6.214,1.0,0.0
2005,00-0000552,O.Ayanbadejo,ARI,RB,24.0,34.0,45.0,58.0,46.0,231.0,277.0,0.0,0.0,0.0,-8.03,3.319,-4.711,-0.081,4.776,0.756,4.8,0.0,6.8,-3.016,0.0,0.0
2005,00-0000745,T.Barber,NYG,RB,358.0,54.0,70.0,412.0,1860.0,530.0,2390.0,9.0,2.0,11.0,10.342,43.345,53.687,0.13,5.801,0.771,40.5,26.8,12.8,32.797,4.0,1.0
2005,00-0001215,J.Bettis,PIT,RB,110.0,4.0,4.0,114.0,368.0,40.0,408.0,9.0,0.0,9.0,4.627,3.399,8.026,0.07,3.579,1.0,7.8,22.5,1.1,10.637,6.0,0.0
2005,00-0002159,S.Bryson,DET,RB,64.0,37.0,47.0,101.0,306.0,284.0,590.0,1.0,0.0,1.0,-3.889,7.687,3.798,0.038,5.842,0.787,13.5,4.0,9.1,5.338,0.0,0.0
2005,00-0003663,Z.Crockett,LV,RB,60.0,13.0,18.0,73.0,208.0,111.0,319.0,1.0,0.0,1.0,-10.587,5.517,-5.07,-0.069,4.37,0.722,6.1,3.1,3.1,-6.773,0.0,0.0
2005,00-0004052,S.Davis,CAR,RB,179.0,5.0,12.0,184.0,546.0,45.0,591.0,12.0,0.0,12.0,-20.657,3.269,-17.388,-0.094,3.212,0.417,11.5,28.6,2.7,-2.219,0.0,0.0
2005,00-0004304,C.Dillon,NE,RB,209.0,22.0,26.0,231.0,733.0,181.0,914.0,12.0,1.0,13.0,-11.525,10.036,-1.489,-0.006,3.957,0.846,15.8,29.5,4.7,3.649,5.0,1.0
2005,00-0004541,D.Driver,GB,WR,2.0,86.0,146.0,88.0,13.0,1221.0,1234.0,0.0,5.0,5.0,0.695,118.543,119.238,1.355,14.023,0.589,23.5,16.1,23.7,26.178,0.0,0.0
2005,00-0004640,W.Dunn,ATL,RB,280.0,29.0,37.0,309.0,1416.0,220.0,1636.0,3.0,1.0,4.0,11.756,6.142,17.899,0.058,5.294,0.784,32.0,11.8,8.3,-2.855,0.0,0.0
2005,00-0004915,B.Engram,,WR,0.0,67.0,97.0,67.0,0.0,774.0,774.0,0.0,3.0,3.0,0.0,58.819,58.819,0.878,11.552,0.691,77400.0,300.0,9700.0,17.804,2.0,0.0
2005,00-0005091,K.Faulk,NE,RB,51.0,29.0,37.0,80.0,144.0,260.0,404.0,0.0,0.0,0.0,-16.375,10.643,-5.732,-0.072,5.05,0.784,7.0,0.0,6.7,-0.339,0.0,1.0
2005,00-0005092,M.Faulk,LA,RB,66.0,44.0,58.0,110.0,292.0,291.0,583.0,0.0,1.0,1.0,-9.949,10.392,0.442,0.004,5.3,0.759,10.0,2.9,9.7,-7.911,0.0,1.0
2005,00-0005231,B.Finneran,,WR,0.0,50.0,84.0,50.0,0.0,611.0,611.0,0.0,2.0,2.0,0.0,49.626,49.626,0.993,12.22,0.595,61100.0,200.0,8400.0,12.209,0.0,0.0
2005,00-0005720,J.Galloway,TB,WR,2.0,83.0,152.0,85.0,4.0,1287.0,1291.0,0.0,10.0,10.0,-1.671,114.994,113.322,1.333,15.188,0.546,25.9,33.3,31.9,19.671,2.0,0.0
2005,00-0006043,T.Glenn,DAL,WR,2.0,62.0,118.0,64.0,-4.0,1129.0,1125.0,1.0,7.0,8.0,0.324,97.755,98.079,1.532,17.578,0.525,20.6,22.9,24.5,35.261,3.0,0.0
2005,00-0006101,T.Gonzalez,,WR,0.0,78.0,116.0,78.0,0.0,905.0,905.0,0.0,2.0,2.0,0.0,71.62,71.62,0.918,11.603,0.672,90500.0,200.0,11600.0,20.923,0.0,0.0
2005,00-0006305,A.Green,GB,RB,77.0,19.0,27.0,96.0,255.0,147.0,402.0,0.0,0.0,0.0,-10.256,4.424,-5.832,-0.061,4.188,0.704,7.7,0.0,4.4,0.0,0.0,0.0
2005,00-0007024,M.Harrison,,WR,0.0,82.0,132.0,82.0,0.0,1136.0,1136.0,0.0,12.0,12.0,0.0,108.749,108.749,1.326,13.854,0.621,113600.0,1200.0,13200.0,30.884,2.0,0.0
2005,00-0007661,P.Holmes,KC,RB,119.0,21.0,32.0,140.0,451.0,197.0,648.0,6.0,1.0,7.0,2.897,8.011,10.908,0.078,4.629,0.656,10.2,16.3,6.5,0.0,0.0,0.0
2005,00-0007681,T.Holt,LA,WR,1.0,102.0,163.0,103.0,2.0,1331.0,1333.0,0.0,9.0,9.0,-0.131,111.63,111.499,1.083,12.942,0.626,23.0,25.7,27.3,23.354,2.0,0.0
2005,00-0008241,E.James,IND,RB,360.0,44.0,50.0,404.0,1506.0,337.0,1843.0,13.0,1.0,14.0,14.228,19.61,33.839,0.084,4.562,0.88,31.6,28.6,9.7,-4.436,1.0,1.0
