season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2025,00-0030061,Z.Ertz,,WR,0.0,50.0,73.0,50.0,0.0,504.0,504.0,0.0,4.0,4.0,0.0,39.729,39.729,0.795,10.08,0.685,50400.0,400.0,7300.0,2.963,0.0,0.0
2025,00-0030279,K.Allen,,TE,0.0,81.0,122.0,81.0,0.0,777.0,777.0,0.0,4.0,4.0,0.0,81.177,81.177,1.002,9.593,0.664,77700.0,400.0,12200.0,10.654,0.0,0.0
2025,00-0030506,T.Kelce,KC,WR,1.0,76.0,109.0,77.0,1.0,851.0,852.0,0.0,5.0,5.0,-1.875,73.069,71.194,0.925,11.065,0.697,16.0,14.3,19.7,9.223,0.0,0.0
2025,00-0031381,D.Adams,,WR,0.0,60.0,114.0,60.0,0.0,789.0,789.0,0.0,14.0,14.0,0.0,81.748,81.748,1.362,13.15,0.526,78900.0,1400.0,11400.0,7.333,0.0,0.0
2025,00-0031588,S.Diggs,,WR,0.0,85.0,102.0,85.0,0.0,1013.0,1013.0,0.0,4.0,4.0,0.0,98.648,98.648,1.161,11.918,0.833,101300.0,400.0,10200.0,28.984,1.0,0.0
2025,00-0032764,D.Henry,BAL,RB,307.0,15.0,21.0,322.0,1595.0,150.0,1745.0,16.0,0.0,16.0,9.166,7.369,16.535,0.051,5.419,0.714,30.9,35.6,5.1,22.159,6.0,3.0
2025,00-0033090,H.Henry,,WR,0.0,60.0,87.0,60.0,0.0,768.0,768.0,0.0,7.0,7.0,0.0,72.373,72.373,1.206,12.8,0.69,76800.0,700.0,8700.0,12.243,2.0,0.0
2025,00-0033280,C.McCaffrey,SF,RB,311.0,102.0,129.0,413.0,1202.0,904.0,2106.0,10.0,7.0,17.0,-21.051,69.186,48.135,0.117,5.099,0.791,35.4,36.2,23.3,8.174,4.0,0.0
2025,00-0033288,G.Kittle,SF,WR,1.0,57.0,69.0,58.0,-3.0,628.0,625.0,0.0,7.0,7.0,-0.99,56.836,55.846,0.963,10.776,0.826,10.5,14.9,12.5,18.156,2.0,0.0
2025,00-0033293,A.Jones,MIN,RB,132.0,28.0,41.0,160.0,548.0,199.0,747.0,2.0,1.0,3.0,-2.375,5.057,2.682,0.017,4.669,0.683,15.4,9.7,8.7,0.163,1.0,0.0
2025,00-0033357,T.Hill,NO,RB,52.0,11.0,17.0,63.0,114.0,91.0,205.0,1.0,0.0,1.0,-14.219,3.046,-11.173,-0.177,3.254,0.647,3.8,3.8,3.0,-9.044,0.0,1.0
2025,00-0033526,S.Perine,CIN,RB,84.0,17.0,21.0,101.0,382.0,87.0,469.0,3.0,0.0,3.0,-0.249,1.326,1.077,0.011,4.644,0.81,8.1,6.4,3.4,1.49,2.0,2.0
2025,00-0033881,E.Engram,DEN,TE,1.0,50.0,77.0,51.0,7.0,461.0,468.0,0.0,1.0,1.0,0.254,26.958,27.213,0.534,9.176,0.649,8.3,2.5,13.1,2.537,0.0,0.0
2025,00-0033906,A.Kamara,NO,RB,131.0,33.0,39.0,164.0,471.0,186.0,657.0,1.0,0.0,1.0,-28.775,-5.119,-33.894,-0.207,4.006,0.846,12.2,3.8,6.9,0.0,0.0,1.0
2025,00-0033923,K.Hunt,KC,RB,163.0,18.0,25.0,181.0,611.0,143.0,754.0,8.0,1.0,9.0,9.669,9.744,19.413,0.107,4.166,0.72,14.2,25.7,4.5,2.037,1.0,1.0
2025,00-0033955,J.McNichols,WAS,RB,45.0,25.0,32.0,70.0,221.0,196.0,417.0,1.0,0.0,1.0,1.442,14.691,16.134,0.23,5.957,0.781,8.1,2.7,7.4,-7.481,0.0,1.0
2025,00-0034348,C.Sutton,,WR,0.0,74.0,125.0,74.0,0.0,1017.0,1017.0,0.0,7.0,7.0,0.0,100.544,100.544,1.359,13.743,0.592,101700.0,700.0,12500.0,28.508,2.0,0.0
2025,00-0034351,D.Goedert,,TE,0.0,60.0,82.0,60.0,0.0,591.0,591.0,0.0,11.0,11.0,0.0,50.715,50.715,0.845,9.85,0.732,59100.0,1100.0,8200.0,20.489,4.0,0.0
2025,00-0034383,D.Schultz,,TE,0.0,82.0,107.0,82.0,0.0,777.0,777.0,0.0,3.0,3.0,0.0,59.147,59.147,0.721,9.476,0.766,77700.0,300.0,10700.0,15.589,2.0,0.0
2025,00-0034753,M.Andrews,BAL,TE,10.0,48.0,70.0,58.0,48.0,422.0,470.0,1.0,5.0,6.0,6.521,36.075,42.595,0.734,8.103,0.686,8.3,13.3,17.1,4.158,0.0,0.0
2025,00-0034791,N.Chubb,HOU,RB,122.0,13.0,20.0,135.0,506.0,67.0,573.0,3.0,0.0,3.0,-13.611,1.645,-11.966,-0.089,4.244,0.65,10.3,9.4,3.6,-1.502,0.0,0.0
2025,00-0034827,D.Moore,CHI,RB,15.0,50.0,85.0,65.0,79.0,667.0,746.0,1.0,6.0,7.0,4.173,51.004,55.177,0.849,11.477,0.588,12.3,15.6,15.9,13.17,3.0,0.0
2025,00-0034844,S.Barkley,PHI,RB,281.0,37.0,51.0,318.0,1140.0,273.0,1413.0,7.0,2.0,9.0,-24.097,4.254,-19.843,-0.062,4.443,0.725,27.0,22.0,10.9,3.072,3.0,0.0
2025,00-0034960,J.Meyers,JAX,WR,5.0,75.0,110.0,80.0,13.0,835.0,848.0,0.0,3.0,3.0,-0.407,65.471,65.064,0.813,10.6,0.682,14.9,6.4,20.0,11.869,1.0,0.0
2025,00-0035229,T.Hockenson,MIN,TE,1.0,51.0,66.0,52.0,0.0,438.0,438.0,0.0,3.0,3.0,-1.107,28.727,27.62,0.531,8.423,0.773,9.1,9.7,14.0,8.126,1.0,0.0
2025,00-0035250,D.Singletary,NYG,RB,119.0,18.0,19.0,137.0,437.0,151.0,588.0,5.0,0.0,5.0,-2.766,2.773,0.007,0.0,4.292,0.947,10.7,12.2,3.8,-2.011,2.0,0.0
2025,00-0035261,T.Pollard,TEN,RB,242.0,33.0,41.0,275.0,1082.0,206.0,1288.0,5.0,0.0,5.0,-21.694,4.213,-17.482,-0.064,4.684,0.805,27.5,20.8,7.7,10.355,3.0,2.0
2025,00-0035537,Ty.Johnson,BUF,RB,50.0,24.0,33.0,74.0,200.0,231.0,431.0,3.0,2.0,5.0,2.763,22.028,24.792,0.335,5.824,0.727,6.9,8.9,6.8,2.557,3.0,0.0
2025,00-0035640,D.Metcalf,PIT,WR,2.0,59.0,99.0,61.0,12.0,850.0,862.0,1.0,6.0,7.0,1.687,74.682,76.369,1.252,14.131,0.596,16.2,17.1,18.9,19.942,1.0,0.0
2025,00-0035676,A.Brown,,WR,0.0,78.0,121.0,78.0,0.0,1003.0,1003.0,0.0,7.0,7.0,0.0,84.19,84.19,1.079,12.859,0.645,100300.0,700.0,12100.0,26.187,1.0,0.0
2025,00-0035685,D.Montgomery,DET,RB,158.0,24.0,29.0,182.0,716.0,192.0,908.0,8.0,0.0,8.0,-0.581,6.965,6.384,0.035,4.989,0.828,13.8,14.3,5.3,6.84,2.0,1.0
2025,00-0035700,J.Jacobs,GB,RB,234.0,36.0,44.0,270.0,929.0,282.0,1211.0,13.0,1.0,14.0,-14.836,17.057,2.221,0.008,4.485,0.818,21.5,32.6,9.5,-9.258,3.0,2.0
2025,00-0035719,D.Samuel,WAS,WR,17.0,72.0,100.0,89.0,75.0,727.0,802.0,1.0,5.0,6.0,0.143,60.898,61.041,0.686,9.011,0.72,15.5,16.2,23.0,13.149,0.0,0.0
2025,00-0036040,J.Johnson,,WR,0.0,77.0,102.0,77.0,0.0,889.0,889.0,0.0,3.0,3.0,0.0,55.364,55.364,0.719,11.545,0.755,88900.0,300.0,10200.0,18.76,0.0,0.0
2025,00-0036139,R.Dowdle,CAR,RB,237.0,39.0,50.0,276.0,1076.0,297.0,1373.0,6.0,1.0,7.0,-2.306,8.763,6.458,0.023,4.975,0.78,27.0,22.6,10.4,-10.138,1.0,1.0
2025,00-0036158,J.Dobbins,DEN,RB,153.0,11.0,14.0,164.0,772.0,37.0,809.0,4.0,0.0,4.0,4.184,-1.912,2.272,0.014,4.933,0.786,14.3,10.0,2.4,0.0,0.0,0.0
2025,00-0036223,J.Taylor,IND,RB,323.0,46.0,56.0,369.0,1583.0,378.0,1961.0,18.0,2.0,20.0,19.386,15.637,35.023,0.095,5.314,0.821,33.1,40.0,10.4,-11.135,3.0,1.0
2025,00-0036252,M.Pittman,,TE,0.0,80.0,114.0,80.0,0.0,793.0,793.0,0.0,7.0,7.0,0.0,64.971,64.971,0.812,9.912,0.702,79300.0,700.0,11400.0,10.878,0.0,0.0
2025,00-0036259,J.Jennings,,WR,0.0,55.0,93.0,55.0,0.0,643.0,643.0,0.0,9.0,9.0,0.0,60.928,60.928,1.108,11.691,0.591,64300.0,900.0,9300.0,20.664,4.0,0.0
2025,00-0036275,D.Swift,CHI,RB,223.0,34.0,48.0,257.0,1087.0,290.0,1377.0,9.0,1.0,10.0,15.449,11.994,27.443,0.107,5.358,0.708,22.7,22.2,9.0,12.945,4.0,2.0
2025,00-0036322,J.Jefferson,MIN,WR,2.0,84.0,142.0,86.0,7.0,1048.0,1055.0,0.0,2.0,2.0,-0.057,80.378,80.321,0.934,12.267,0.592,21.8,6.5,30.1,21.529,0.0,0.0
2025,00-0036358,C.Lamb,DAL,WR,1.0,75.0,117.0,76.0,2.0,1077.0,1079.0,0.0,3.0,3.0,-0.248,85.682,85.434,1.124,14.197,0.641,16.1,6.2,19.2,24.322,0.0,0.0
2025,00-0036389,J.Hurts,PHI,RB,53.0,0.0,0.0,53.0,170.0,0.0,170.0,6.0,0.0,6.0,8.259,0.0,8.259,0.156,3.208,0.0,3.3,14.6,0.0,1.085,0.0,2.0
2025,00-0036407,J.Jeudy,CLE,WR,1.0,50.0,106.0,51.0,5.0,602.0,607.0,0.0,2.0,2.0,2.733,45.042,47.776,0.937,11.902,0.472,13.5,8.0,20.2,18.917,1.0,0.0
2025,00-0036410,T.Higgins,,WR,0.0,59.0,99.0,59.0,0.0,846.0,846.0,0.0,11.0,11.0,0.0,88.92,88.92,1.507,14.339,0.596,84600.0,1100.0,9900.0,29.303,4.0,0.0
2025,00-0036554,N.Collins,HOU,WR,2.0,71.0,121.0,73.0,15.0,1117.0,1132.0,1.0,6.0,7.0,1.996,87.269,89.264,1.223,15.507,0.587,20.4,21.9,21.7,28.272,2.0,0.0
2025,00-0036555,C.Hubbard,CAR,RB,135.0,30.0,39.0,165.0,511.0,223.0,734.0,1.0,3.0,4.0,-15.674,9.935,-5.739,-0.035,4.448,0.769,14.4,12.9,8.1,-11.436,0.0,1.0
2025,00-0036613,J.Waddle,MIA,WR,2.0,64.0,100.0,66.0,28.0,910.0,938.0,0.0,6.0,6.0,1.93,82.43,84.359,1.278,14.212,0.64,17.7,16.2,21.5,13.929,1.0,0.0
2025,00-0036875,R.Stevenson,NE,RB,131.0,32.0,37.0,163.0,603.0,345.0,948.0,7.0,2.0,9.0,-18.276,15.676,-2.6,-0.016,5.816,0.865,15.2,18.0,7.7,27.843,6.0,2.0
2025,00-0036900,J.Chase,CIN,WR,3.0,125.0,185.0,128.0,14.0,1412.0,1426.0,0.0,8.0,8.0,0.123,109.685,109.808,0.858,11.141,0.676,24.8,17.0,30.3,39.658,3.0,0.0
2025,00-0036912,D.Smith,,WR,0.0,77.0,114.0,77.0,0.0,1008.0,1008.0,0.0,4.0,4.0,0.0,89.19,89.19,1.158,13.091,0.675,100800.0,400.0,11400.0,16.233,1.0,0.0
2025,00-0036919,K.Gainwell,PIT,RB,114.0,73.0,85.0,187.0,537.0,486.0,1023.0,5.0,3.0,8.0,-0.657,15.069,14.413,0.077,5.471,0.859,19.2,19.5,16.2,13.725,3.0,0.0
2025,00-0036924,M.Carter,ARI,RB,92.0,33.0,45.0,125.0,333.0,267.0,600.0,1.0,0.0,1.0,-6.848,12.18,5.332,0.043,4.8,0.733,10.6,2.7,7.3,6.559,0.0,0.0
2025,00-0036963,St. Brown,DET,WR,3.0,117.0,172.0,120.0,9.0,1401.0,1410.0,0.0,11.0,11.0,0.557,124.737,125.294,1.044,11.75,0.68,21.5,19.6,31.3,42.384,2.0,0.0
2025,00-0036970,K.Pitts,,WR,0.0,88.0,119.0,88.0,0.0,928.0,928.0,0.0,5.0,5.0,0.0,68.399,68.399,0.777,10.545,0.739,92800.0,500.0,11900.0,41.378,4.0,0.0
2025,00-0036973,T.Etienne,JAX,RB,260.0,36.0,52.0,296.0,1107.0,292.0,1399.0,7.0,6.0,13.0,-18.983,22.233,3.25,0.011,4.726,0.692,24.6,27.7,9.5,-5.227,6.0,0.0
2025,00-0036997,J.Williams,DAL,RB,252.0,35.0,51.0,287.0,1201.0,137.0,1338.0,11.0,2.0,13.0,12.205,-5.516,6.689,0.023,4.662,0.686,20.0,27.1,8.4,8.946,3.0,1.0
2025,00-0037157,Z.Knight,ARI,RB,83.0,22.0,31.0,105.0,269.0,160.0,429.0,4.0,1.0,5.0,-16.388,9.163,-7.224,-0.069,4.086,0.71,7.6,13.5,5.0,-0.89,0.0,1.0
2025,00-0037197,I.Pacheco,KC,RB,118.0,19.0,27.0,137.0,462.0,101.0,563.0,1.0,1.0,2.0,-13.643,0.233,-13.41,-0.098,4.109,0.704,10.6,5.7,4.9,-7.702,0.0,0.0
2025,00-0037228,J.Warren,PIT,RB,211.0,40.0,45.0,251.0,958.0,333.0,1291.0,6.0,2.0,8.0,-0.5,13.654,13.154,0.052,5.143,0.889,24.2,19.5,8.6,6.766,3.0,0.0
2025,00-0037238,D.London,,WR,0.0,68.0,113.0,68.0,0.0,919.0,919.0,0.0,7.0,7.0,0.0,75.813,75.813,1.115,13.515,0.602,91900.0,700.0,11300.0,13.009,1.0,0.0
2025,00-0037239,C.Olave,NO,WR,1.0,100.0,156.0,101.0,-3.0,1163.0,1160.0,0.0,9.0,9.0,-1.253,96.335,95.082,0.941,11.485,0.641,21.5,34.6,27.5,36.885,4.0,0.0
2025,00-0037240,J.Williams,DET,WR,6.0,65.0,102.0,71.0,12.0,1109.0,1121.0,0.0,7.0,7.0,-1.426,98.859,97.433,1.372,15.789,0.637,17.1,12.5,18.5,34.194,1.0,0.0
2025,00-0037247,G.Pickens,,WR,0.0,93.0,137.0,93.0,0.0,1429.0,1429.0,0.0,9.0,9.0,0.0,138.57,138.57,1.49,15.366,0.679,142900.0,900.0,13700.0,27.855,1.0,0.0
2025,00-0037248,J.Cook,BUF,RB,309.0,33.0,40.0,342.0,1621.0,291.0,1912.0,12.0,2.0,14.0,5.576,13.609,19.184,0.056,5.591,0.825,30.7,25.0,8.2,4.013,5.0,3.0
2025,00-0037256,R.White,TB,RB,133.0,40.0,45.0,173.0,572.0,218.0,790.0,4.0,0.0,4.0,10.429,2.278,12.707,0.073,4.566,0.889,14.8,10.5,8.3,7.455,0.0,0.0
2025,00-0037261,K.Shakir,BUF,TE,1.0,72.0,97.0,73.0,5.0,686.0,691.0,0.0,4.0,4.0,-0.105,36.175,36.07,0.494,9.466,0.742,11.1,7.1,19.9,8.759,1.0,0.0
2025,00-0037263,T.Allgeier,ATL,RB,143.0,14.0,16.0,157.0,514.0,96.0,610.0,8.0,0.0,8.0,-11.555,4.371,-7.184,-0.046,3.885,0.875,10.6,22.9,3.1,-6.293,0.0,0.0
2025,00-0037267,J.Ford,CLE,RB,24.0,26.0,32.0,50.0,73.0,103.0,176.0,0.0,0.0,0.0,-3.017,-0.073,-3.09,-0.062,3.52,0.812,3.9,0.0,6.1,2.138,0.0,0.0
2025,00-0037525,J.Mason,MIN,RB,159.0,14.0,16.0,173.0,758.0,51.0,809.0,6.0,0.0,6.0,-5.773,-3.629,-9.402,-0.054,4.676,0.875,16.7,19.4,3.4,0.261,1.0,1.0
2025,00-0037545,R.Shaheed,SEA,WR,9.0,59.0,92.0,68.0,69.0,687.0,756.0,0.0,2.0,2.0,0.975,36.12,37.094,0.546,11.118,0.641,12.4,4.5,20.1,11.956,0.0,0.0
2025,00-0037563,M.Davis,DAL,RB,52.0,2.0,5.0,54.0,250.0,16.0,266.0,2.0,0.0,2.0,0.813,-2.519,-1.706,-0.032,4.926,0.4,4.0,4.2,0.8,-5.321,1.0,0.0
2025,00-0037744,T.McBride,,TE,0.0,126.0,170.0,126.0,0.0,1239.0,1239.0,0.0,11.0,11.0,0.0,107.69,107.69,0.855,9.833,0.741,123900.0,1100.0,17000.0,23.867,3.0,0.0
2025,00-0037746,B.Robinson,SF,RB,92.0,8.0,12.0,100.0,400.0,25.0,425.0,2.0,0.0,2.0,-0.72,-1.916,-2.635,-0.026,4.25,0.667,7.1,4.3,2.2,-2.523,0.0,0.0
2025,00-0037809,C.Okonkwo,,WR,0.0,56.0,79.0,56.0,0.0,560.0,560.0,0.0,2.0,2.0,0.0,33.994,33.994,0.607,10.0,0.709,56000.0,200.0,7900.0,13.391,2.0,0.0
2025,00-0037816,R.Doubs,,WR,0.0,55.0,86.0,55.0,0.0,724.0,724.0,0.0,6.0,6.0,0.0,67.544,67.544,1.228,13.164,0.64,72400.0,600.0,8600.0,16.346,1.0,0.0
2025,00-0037840,K.Williams,LA,RB,259.0,36.0,50.0,295.0,1252.0,281.0,1533.0,10.0,3.0,13.0,4.928,20.974,25.901,0.088,5.197,0.72,22.3,20.6,8.6,4.713,3.0,2.0
2025,00-0038041,J.Ferguson,DAL,TE,1.0,82.0,103.0,83.0,1.0,600.0,601.0,0.0,8.0,8.0,-0.694,36.651,35.957,0.433,7.241,0.796,9.0,16.7,16.9,3.077,1.0,0.0
2025,00-0038117,W.Robinson,NYG,WR,3.0,92.0,141.0,95.0,5.0,1014.0,1019.0,0.0,4.0,4.0,1.922,76.956,78.878,0.83,10.726,0.652,18.5,9.8,27.9,13.583,1.0,0.0
2025,00-0038120,B.Hall,NYJ,RB,243.0,36.0,48.0,279.0,1065.0,350.0,1415.0,4.0,1.0,5.0,-22.267,18.911,-3.355,-0.012,5.072,0.75,31.8,20.8,10.1,-5.729,1.0,2.0
2025,00-0038129,C.Otton,,TE,0.0,59.0,82.0,59.0,0.0,572.0,572.0,0.0,1.0,1.0,0.0,30.934,30.934,0.524,9.695,0.72,57200.0,100.0,8200.0,7.551,1.0,0.0
2025,00-0038134,K.Walker,SEA,RB,221.0,31.0,36.0,252.0,1027.0,282.0,1309.0,5.0,0.0,5.0,-14.294,10.76,-3.534,-0.014,5.194,0.861,21.5,11.4,7.9,-2.801,1.0,0.0
2025,00-0038454,K.Mitchell,BAL,RB,59.0,9.0,12.0,68.0,341.0,63.0,404.0,1.0,0.0,1.0,2.617,2.896,5.512,0.081,5.941,0.75,7.1,2.2,2.9,-0.541,0.0,0.0
2025,00-0038542,B.Robinson,ATL,RB,288.0,79.0,103.0,367.0,1478.0,820.0,2298.0,7.0,4.0,11.0,-12.255,52.242,39.987,0.109,6.262,0.767,39.8,31.4,19.7,4.843,4.0,2.0
2025,00-0038543,J.Smith-Njigba,SEA,WR,7.0,119.0,163.0,126.0,36.0,1793.0,1829.0,0.0,10.0,10.0,0.047,141.8,141.847,1.126,14.516,0.73,30.0,22.7,35.7,39.445,3.0,0.0
2025,00-0038544,Q.Johnston,LAC,WR,2.0,51.0,84.0,53.0,7.0,735.0,742.0,0.0,8.0,8.0,-0.37,57.648,57.278,1.081,14.0,0.607,13.4,22.9,15.4,18.176,1.0,0.0
2025,00-0038551,K.Miller,NO,RB,47.0,5.0,5.0,52.0,193.0,30.0,223.0,1.0,0.0,1.0,-2.927,-0.367,-3.294,-0.063,4.288,1.0,4.1,3.8,0.9,0.0,0.0,0.0
2025,00-0038555,T.Bigsby,PHI,RB,63.0,3.0,4.0,66.0,356.0,32.0,388.0,2.0,0.0,2.0,7.249,0.561,7.811,0.118,5.879,0.75,7.4,4.9,0.9,0.537,2.0,0.0
2025,00-0038559,M.Wilson,,WR,0.0,78.0,127.0,78.0,0.0,1006.0,1006.0,0.0,7.0,7.0,0.0,85.068,85.068,1.091,12.897,0.614,100600.0,700.0,12700.0,40.768,6.0,0.0
