season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2005,00-0001361,D.Bledsoe,DAL,16,562,496,49,0,17,0.0245,13.77,5.576,,3639,0,9,3648,23,0,1,0,24,17,11,28,66.8,60.0,0.3,0.4484,0.1441,-1.78,6,147,-0.0121,9,0.5625,11.607,0.0,0
2005,00-0001545,T.Bouman,NO,5,134,122,8,0,4,-0.3176,-42.56,2.985,,722,0,6,728,2,0,0,0,2,7,3,10,14.4,6.9,-0.51,0.3955,0.1343,-21.35,2,118,-0.181,3,0.1875,8.103,0.0,0
2005,00-0001823,A.Brooks,NO,13,474,427,33,0,14,-0.0557,-26.42,4.728,,2882,0,54,2936,13,0,2,0,15,17,6,23,58.1,51.7,-0.318,0.4219,0.1203,-11.32,1,49,-0.2309,3,0.1875,8.103,0.0,0
2005,00-0002110,M.Brunell,WAS,16,495,455,27,0,13,0.0277,13.73,5.907,,3050,0,6,3056,23,0,0,0,23,10,7,17,56.4,54.8,-0.575,0.4242,0.0949,-7.54,7,89,-0.0847,10,0.625,11.581,0.0,0
2005,00-0003292,K.Collins,LV,15,613,568,37,0,8,0.0041,2.49,5.499,,3759,0,20,3779,20,0,1,0,21,13,3,16,72.5,58.3,0.412,0.4176,0.0881,-11.13,4,129,-0.0863,0,0.0,0.0,0.0,0
2005,00-0003739,D.Culpepper,MIN,7,258,217,31,0,10,-0.1487,-38.35,3.956,,1564,0,59,1623,6,0,1,0,7,12,4,16,34.0,25.0,-0.267,0.438,0.186,0.0,0,0,0.0,9,0.5625,10.2,0.0,0
2005,00-0004161,J.Delhomme,CAR,16,469,436,27,0,6,0.0679,31.86,6.415,,3421,0,7,3428,24,0,1,0,25,16,8,24,66.6,55.6,-0.466,0.4499,0.1087,12.08,7,113,0.1069,11,0.6875,13.483,1.0,0
2005,00-0004293,T.Dilfer,CLE,11,364,332,23,0,9,-0.1194,-43.45,5.245,,2321,0,22,2343,11,0,0,0,11,12,8,20,49.3,55.0,-1.255,0.4286,0.1181,0.0,0,0,0.0,6,0.375,8.286,0.0,0
2005,00-0005106,B.Favre,GB,16,635,609,24,0,2,-0.0152,-9.68,4.433,,3881,0,0,3881,20,0,0,0,20,29,8,37,73.9,55.6,-1.973,0.4614,0.0961,-11.24,1,155,-0.0725,4,0.25,10.643,0.0,0
2005,00-0005589,G.Frerotte,MIA,16,531,490,26,0,15,-0.0672,-35.69,5.064,,2996,0,38,3034,18,0,0,0,18,13,9,22,57.0,52.9,-1.063,0.4011,0.096,14.71,6,117,0.1258,9,0.5625,10.258,0.0,0
