season,passer_id,player_name,team,games,dropbacks,epa_per_db,total_epa,any_a,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,team_wins,pts_per_drive,total_plays,epa_per_play,pass_att,sacks,scrambles,designed_runs,late_epa,late_tds,late_plays,late_epa_per_play,pct_team_yards,pct_team_tds,wpa_total,close_epa,close_epa_per_play,wins_vs_top10,wins_vs_top10_x,wins_vs_top10_y,success_rate,negative_play_rate,cpoe,win_pct,offensive_allpros_nqb,last_name,vote_pct,won,z_epa_per_play,z_total_epa,z_any_a,z_total_yards,z_total_tds,z_turnovers,z_pts_per_drive,z_team_wins,z_late_epa,z_late_epa_per_play,z_late_tds,z_pct_team_yards,z_pct_team_tds,z_wpa_total,z_success_rate,z_negative_play_rate,z_cpoe,z_win_pct,z_offensive_allpros_nqb,raw_index,mvp_index
2025,00-0023459,A.Rodgers,PIT,16,,,17.16,6.275,3322,68,0,3390,24,1,0,0,25,7,4,11,10,17.261,539.0,0.0318,498.0,29.0,12.0,0.0,24.79,6.0,200.0,0.124,63.7,58.1,0.366,,,0.0,,,0.4304,0.0742,0.0417,0.5882,0.0,rodgers,,,0.06070823228120765,-0.10581116560817598,0.32385579952298243,0.4789508544047855,0.502126853155334,-0.028292631669336203,0.6850281483012716,0.6199633659849578,0.6541972374364844,0.42941860728392156,0.19288438587037277,0.6723024844514341,0.5869856012498919,-0.25910299145794985,-0.5000614675924796,0.7843554240170325,-0.025293653350047064,0.6197866859288077,0.5054654075998557,0.2563416644794952,59.6
2025,00-0040398,B.Cook,NYJ,5,,,-71.62,1.96,739,44,5,788,2,0,0,0,2,7,1,8,3,12.5,185.0,-0.3871,154.0,19.0,7.0,5.0,-71.62,2.0,185.0,-0.3871,17.7,7.4,-0.612,,,0.0,,,0.3243,0.1459,-10.0291,0.1765,0.0,cook,,,-2.792397059708085,-1.5662574869805155,-3.04815877886594,-1.5608540247374079,-1.6104800290225962,0.6082915808907307,-0.9511352366798417,-1.3933197297393896,-3.25743484277013,-0.9327701351615373,-0.6750953505463043,-1.5508063698847778,-1.8312297278429717,-0.8304589717197184,-2.610690425354406,-2.053095832391707,-2.6163851308008135,-1.3931998918314517,0.5054654075998557,-1.6381435726176388,0.0
2025,00-0034855,B.Mayfield,TB,17,,,38.86,5.966,3693,373,18,4084,26,1,0,0,27,11,4,15,8,14.074,630.0,0.0617,548.0,36.0,42.0,4.0,16.75,7.0,186.0,0.09,76.6,67.5,1.193,,,0.0,,,0.4492,0.081,-2.1161,0.4706,0.0,mayfield,,,0.26435551857979883,0.2511575793093704,0.08238360839385671,1.0230033471506281,0.6858317994316757,-0.8770715817494252,-0.4102150165663629,0.04473962434943004,0.3279912222424051,0.33880147317485176,0.409879319974542,1.2957395327326757,1.0353332165057678,0.22403749491882186,-0.12607631767801997,0.5152526549294533,-0.5804687327919249,0.04478736228390517,0.5054654075998557,0.3229963818142608,61.7
2025,00-0039732,B.Nix,DEN,17,,,75.83,5.983,3931,307,66,4304,25,3,2,0,30,11,3,14,14,14.321,704.0,0.1077,616.0,22.0,36.0,30.0,30.08,8.0,215.0,0.1399,76.0,69.8,4.116,,,0.0,,,0.4517,0.0597,-1.1956,0.8235,0.0,nix,,,0.5776590359622468,0.8593204594753467,0.09566848622296675,1.1954695552256789,0.9613892188461884,-0.664876844229403,-0.3253310938420749,1.7704108492560136,0.8688278121102007,0.47179544352904546,0.6268742540787113,1.2667424607195952,1.145035292579014,1.9316791414476044,-0.07634424987024599,1.3581775051596645,-0.3436355412884267,1.7702742782217133,0.5054654075998557,0.8179264665650694,77.3
2025,00-0037834,B.Purdy,SF,9,,,75.64,6.926,2167,131,20,2318,20,1,2,0,23,10,3,13,12,19.0,327.0,0.2313,287.0,11.0,18.0,11.0,48.26,13.0,148.0,0.3261,38.8,46.9,2.47,,,0.0,,,0.5443,0.0765,7.2285,0.7059,0.0,purdy,,,1.4194919652768245,0.8561949266857461,0.832588474037742,-0.36142994130637174,0.31842190687899224,-0.45268210670938075,1.2826522034329997,1.1951871076204856,1.6064429061684544,0.9680575132675397,1.7118489245995576,-0.5310760040914286,0.05278418732799687,0.9700718372442602,1.765731541729701,0.693335369766822,1.8237805244851963,1.1952749545768102,0.5054654075998557,0.787242377073833,76.3
2025,00-0039150,B.Young,CAR,16,,,-12.92,5.482,3011,220,14,3245,23,2,0,0,25,11,6,17,8,13.522,545.0,-0.0237,479.0,27.0,33.0,6.0,0.39,6.0,136.0,0.0029,63.9,73.5,0.352,,,0.0,,,0.4367,0.0826,0.9989,0.4706,0.0,young,,,-0.31729927238674593,-0.6006323567196873,-0.29584467803493547,0.3652799445371383,0.502126853155334,-1.3014610567894698,-0.5999151191728687,0.04473962434943004,-0.3357812166350994,0.10666169726602868,0.19288438587037277,0.681968175122461,1.3215125453924972,-0.26728191142079727,-0.3747366567168899,0.4519343563206109,0.22098199130736582,0.04478736228390517,0.5054654075998557,-0.03648501895979624,50.4
2025,00-0039163,C.Stroud,HOU,14,,,60.99,6.439,3041,194,20,3255,19,0,1,0,20,8,2,10,12,14.963,483.0,0.1263,423.0,23.0,25.0,12.0,16.94,9.0,159.0,0.1065,58.6,58.8,1.181,,,0.0,,,0.47,0.0683,0.3577,0.7059,0.0,stroud,,,0.7043426321212367,0.6151998984349603,0.4520157974038126,0.37311931763145884,0.04286448746447959,0.18390210585068606,-0.10470162668016063,1.1951871076204856,0.3357000708601757,0.382777435316018,0.8438691881828806,0.42582737234024537,0.6203731896200101,0.21702699209352408,0.2876944864826589,1.0178416501371381,0.056009213043332035,1.1952749545768102,0.5054654075998557,0.468103853049741,66.3
2025,00-0040676,C.Ward,TEN,17,,,-101.23,4.635,3169,151,18,3338,15,0,2,0,17,7,9,16,3,9.793,625.0,-0.162,537.0,55.0,23.0,10.0,-4.13,9.0,144.0,-0.0287,71.2,58.6,-1.933,,,0.0,,,0.3824,0.1152,-2.9297,0.1765,0.0,ward,,,-1.259253108343106,-2.053347096980909,-0.9577441792853222,0.438186114314319,-0.23269293195003304,-1.0892663192694476,-1.8814217905852975,-1.3933197297393896,-0.5191706679631142,0.022441066741128477,0.8438691881828806,1.034765884614947,0.6108338786571194,-1.6021984910712486,-1.4549171695017389,-0.8381759778345478,-0.7897978849996883,-1.3931998918314517,0.5054654075998557,-0.7470467246100297,28.0
2025,00-0032950,C.Wentz,MIN,5,,,6.89,5.245,1216,57,0,1273,6,0,0,0,6,5,0,5,9,13.76,198.0,0.0348,169.0,19.0,9.0,1.0,0.0,0.0,0.0,0.0,26.3,16.2,0.035,,,0.0,,,0.4798,0.1212,1.1112,0.5294,1.0,wentz,,,0.08114107037136727,-0.2747544379723788,-0.48105150424076976,-1.1806444296628638,-1.2430701364699128,1.2448757934507975,-0.5181241329041217,0.3323514951671939,-0.35160464274526,0.09893258876849038,-1.109085218754643,-1.1351816710306166,-1.4115000454757685,-0.45247602772241347,0.48264419228913336,-1.075619597617706,0.24987538338324072,0.33228702410635647,-2.170527926752322,-0.49636472613152866,35.9
2025,00-0039918,C.Williams,CHI,17,,,53.85,6.737,3942,363,32,4337,27,2,1,1,31,7,2,9,11,16.333,660.0,0.0816,570.0,24.0,43.0,23.0,29.72,10.0,192.0,0.1548,71.3,64.6,2.246,,,0.0,,,0.4455,0.0545,-3.5054,0.6471,0.0,williams,,,0.3998933445778579,0.49774566623628375,0.6848918911141021,1.2213394864369367,1.0532416919843592,0.39609684337070833,0.36611203377439183,0.9075752368027218,0.8542215726238986,0.5115070699474319,1.0608641222870498,1.0395987299504603,0.8970132075438484,0.8392091178387016,-0.19967977803352502,1.5639619756384018,-0.9379183286157273,0.9077752927543589,0.5054654075998557,0.7446913827151492,75.0
2025,00-0040704,D.Gabriel,CLE,10,,,-42.31,4.216,937,89,-2,1024,7,0,0,0,7,2,0,2,5,9.964,217.0,-0.195,185.0,19.0,11.0,2.0,-1.41,0.0,1.0,-1.4081,22.6,25.9,-1.044,,,0.0,,,0.3226,0.1014,-7.5071,0.2941,0.0,gabriel,,,-1.484014327334862,-1.0841029287531754,-1.2851773446028092,-1.3758448197114441,-1.151217663331742,1.8814600060108642,-1.8226559979300208,-0.8180959881038616,-0.40881241406660973,-3.6539493682603696,-1.109085218754643,-1.3139969484446161,-0.948843463775556,-1.0828370734304384,-2.644508231463692,-0.2920556523332844,-1.9675059249650475,-0.8182005681865488,0.5054654075998557,-1.092321906873065,17.2
2025,00-0035710,D.Jones,IND,13,,,75.94,7.244,3101,148,22,3271,19,1,4,0,24,8,4,12,8,19.417,447.0,0.1699,387.0,22.0,22.0,16.0,-1.36,0.0,8.0,-0.1694,55.2,44.4,1.573,,,0.0,,,0.5123,0.0783,2.2971,0.4706,0.0,jones,,,1.001299879031557,0.8611299784587998,1.0810938357822788,0.3856623145823716,0.4102743800171631,-0.24048736918935848,1.4259582592063933,0.04473962434943004,-0.4067837696935122,-0.3525539558808165,-1.109085218754643,0.2615106309327863,-0.06645719970814037,0.44603675105325136,1.129161073790194,0.6221022838318747,0.5549926911551023,0.04478736228390517,0.5054654075998557,0.411753080492696,64.5
