season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2017,00-0019596,T.Brady,NE,16,632,583,35,6,8,0.209,132.08,7.534,3.7357,4577,25,14,4616,32,0,0,0,32,8,3,11,71.0,62.7,3.832,0.5063,0.0728,2.42,6,154,0.0157,13,0.8125,16.963,0.5,0
2017,00-0020531,D.Brees,NO,16,568,533,20,5,10,0.1589,90.27,7.756,4.6814,4334,20,12,4366,23,1,1,0,25,8,5,13,68.2,53.2,2.101,0.4982,0.0581,6.31,6,137,0.046,11,0.6875,14.933,0.0,0
2017,00-0021206,J.McCown,NYJ,13,455,393,39,14,9,0.0313,14.25,6.058,5.5341,2926,125,13,3064,18,1,4,0,23,9,7,16,60.8,67.6,-0.162,0.4549,0.1209,-13.53,0,17,-0.7957,5,0.3125,10.276,0.0,0
2017,00-0021429,C.Palmer,ARI,7,298,268,22,1,7,-0.0518,-15.44,5.838,-0.035,1978,2,16,1996,9,0,0,0,9,7,2,9,37.7,29.0,0.218,0.4396,0.104,0.0,0,0,0.0,8,0.5,9.833,0.0,0
2017,00-0022803,E.Manning,NYG,15,612,574,32,5,1,-0.1024,-62.67,5.073,-3.6361,3468,35,0,3503,19,1,0,0,20,13,5,18,67.5,74.1,-0.89,0.433,0.0817,-32.71,5,184,-0.1778,3,0.1875,8.483,0.0,0
2017,00-0022924,B.Roethlisberger,PIT,15,595,561,21,10,3,0.1505,89.53,6.959,2.9129,4259,62,4,4325,28,0,0,0,28,14,1,15,70.0,65.1,2.719,0.4992,0.0605,42.42,6,132,0.3214,13,0.8125,16.24,1.5,0
2017,00-0022942,P.Rivers,LAC,16,597,574,18,2,3,0.181,108.05,7.61,1.0183,4515,13,0,4528,28,0,0,0,28,10,3,13,73.6,70.0,2.568,0.4791,0.0519,26.72,7,151,0.1769,9,0.5625,12.241,0.0,0
2017,00-0023436,A.Smith,KC,15,591,505,35,33,18,0.1766,104.38,7.648,4.9927,4042,288,46,4376,26,0,1,0,27,5,1,6,74.0,69.2,2.978,0.4822,0.0711,25.67,3,118,0.2175,10,0.625,14.821,1.0,0
2017,00-0023459,A.Rodgers,GB,7,279,239,22,16,2,0.1017,28.39,5.966,0.8471,1675,126,5,1806,16,0,0,0,16,6,2,8,36.6,40.0,1.237,0.4946,0.1111,1.06,3,53,0.0201,7,0.4375,12.8,0.0,0
2017,00-0023682,R.Fitzpatrick,TB,6,185,165,7,10,3,0.0328,6.07,6.244,-1.6116,1103,65,16,1184,7,0,0,0,7,3,1,4,20.2,20.0,0.049,0.4541,0.0595,0.0,0,0,0.0,5,0.3125,13.4,0.0,0
2017,00-0024226,J.Cutler,MIA,14,459,429,20,6,4,-0.0962,-44.17,5.038,-0.3911,2666,32,7,2705,19,0,0,0,19,14,4,18,52.6,61.3,-0.982,0.4205,0.0828,-12.61,4,136,-0.0927,6,0.375,9.69,0.0,0
2017,00-0025430,D.Stanton,ARI,5,170,159,7,1,3,-0.1206,-20.51,4.512,-8.3103,894,1,11,906,6,0,0,0,6,5,0,5,17.1,19.4,0.042,0.3706,0.0706,-12.2,3,72,-0.1694,8,0.5,9.833,0.0,0
2017,00-0025708,M.Moore,MIA,4,141,126,12,2,1,-0.1504,-21.2,4.5,-0.0989,861,9,0,870,4,0,0,0,4,5,0,5,16.9,12.9,0.304,0.4043,0.1206,0.0,0,0,0.0,6,0.375,9.69,0.0,0
2017,00-0026143,M.Ryan,ATL,16,573,526,24,17,6,0.1305,74.79,6.907,2.9681,4095,150,3,4248,20,0,0,0,20,12,3,15,72.6,55.6,1.659,0.4939,0.0681,17.62,4,153,0.1152,10,0.625,14.12,0.0,0
2017,00-0026158,J.Flacco,BAL,16,584,547,27,6,4,-0.0867,-50.66,4.723,-1.2153,3141,36,30,3207,18,0,1,0,19,13,1,14,63.2,51.4,-2.026,0.4195,0.0702,5.7,8,168,0.0339,9,0.5625,12.742,0.0,0
2017,00-0026498,M.Stafford,DET,16,635,568,47,17,3,0.0424,26.93,6.974,0.6306,4446,107,0,4553,29,0,0,0,29,10,9,19,81.4,65.9,1.067,0.4535,0.1039,17.01,7,151,0.1126,9,0.5625,13.226,0.0,0
2017,00-0026625,B.Hoyer,SF,8,233,212,16,1,4,-0.1293,-30.14,4.715,-6.3027,1287,9,-2,1294,4,1,0,0,5,4,1,5,22.3,16.1,-1.394,0.382,0.0944,-2.65,0,3,-0.8848,6,0.375,12.259,0.0,0
2017,00-0027939,C.Newton,CAR,16,651,492,35,31,93,0.0265,17.28,5.275,-2.321,3302,230,547,4079,22,1,5,0,28,16,1,17,78.2,71.8,1.287,0.4409,0.0891,-9.4,7,164,-0.0573,11,0.6875,13.962,0.0,0
2017,00-0027948,B.Gabbert,ARI,5,213,171,23,14,5,-0.2496,-53.16,4.057,-7.3974,1086,82,3,1171,6,0,0,0,6,6,2,8,22.1,19.4,-1.297,0.3803,0.1455,-29.03,0,87,-0.3336,8,0.5,9.833,0.0,0
2017,00-0027973,A.Dalton,CIN,16,554,495,39,11,9,-0.0866,-47.96,5.665,-1.6825,3320,87,30,3437,25,0,0,0,25,12,7,19,73.4,78.1,-0.245,0.4116,0.1065,-33.86,5,145,-0.2335,7,0.4375,10.357,0.0,0
2017,00-0028090,T.Yates,HOU,4,115,97,13,5,0,-0.2271,-26.12,3.573,-10.3715,523,51,0,574,4,0,0,0,4,3,2,5,10.9,10.3,-0.469,0.3565,0.1565,-26.12,4,115,-0.2271,4,0.25,12.519,1.0,0
