season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2025,00-0023459,A.Rodgers,PIT,16,539,498,29,12,0,0.0318,17.16,6.275,0.0417,3322,68,0,3390,24,1,0,0,25,7,4,11,63.7,58.1,0.366,0.4304,0.0742,24.79,6,200,0.124,10,0.5882,17.261,0.0,0
2025,00-0026158,J.Flacco,CIN,13,444,414,18,4,8,-0.0937,-41.59,5.118,-2.8235,2479,30,22,2531,15,0,1,0,16,10,4,14,43.8,28.6,-1.103,0.4189,0.0721,0.25,0,8,0.0316,6,0.3529,17.25,1.0,0
2025,00-0026498,M.Stafford,LA,17,629,594,23,7,5,0.1989,125.11,8.293,1.5916,4707,22,0,4729,46,0,0,0,46,8,5,13,68.9,70.8,4.38,0.5231,0.0572,61.21,14,205,0.2986,12,0.7059,20.72,0.0,0
2025,00-0028118,T.Taylor,NYJ,6,172,133,14,22,3,-0.0452,-7.77,3.891,-0.8776,779,141,4,924,5,1,0,0,6,5,1,6,20.7,22.2,-0.329,0.4419,0.1163,-6.36,0,4,-1.5903,3,0.1765,12.5,0.0,0
2025,00-0029263,R.Wilson,NYG,6,147,119,10,12,6,-0.1154,-16.96,5.349,-1.48,831,91,15,937,3,0,0,0,3,3,0,3,17.0,6.8,0.359,0.381,0.0952,0.0,0,0,0.0,4,0.2353,15.24,0.0,0
2025,00-0029604,K.Cousins,ATL,10,289,268,13,2,6,-0.026,-7.51,5.754,-2.7993,1721,8,9,1738,10,0,1,0,11,5,2,7,30.1,28.9,0.351,0.4464,0.0692,2.73,8,173,0.0158,8,0.4706,14.708,0.0,0
2025,00-0030565,G.Smith,LV,15,538,448,55,18,17,-0.1362,-73.25,4.443,0.7071,3025,109,6,3140,19,0,0,0,19,17,1,18,69.8,73.1,-2.02,0.4238,0.1413,-6.79,4,83,-0.0818,3,0.1765,8.31,0.0,0
2025,00-0032268,M.Mariota,WAS,10,288,228,16,18,26,0.0167,4.81,6.037,3.1971,1695,163,140,1998,10,1,0,0,11,7,3,10,38.7,27.5,-0.321,0.4792,0.1042,-10.92,1,50,-0.2185,5,0.2941,15.478,0.0,0
2025,00-0032950,C.Wentz,MIN,5,198,169,19,9,1,0.0348,6.89,5.245,1.1112,1216,57,0,1273,6,0,0,0,6,5,0,5,26.3,16.2,0.035,0.4798,0.1212,0.0,0,0,0.0,9,0.5294,13.76,1.0,0
2025,00-0033077,D.Prescott,DAL,17,667,599,31,26,11,0.1592,106.21,7.133,2.1646,4552,176,13,4741,30,1,1,0,32,10,5,15,70.9,65.3,4.63,0.4843,0.069,18.2,5,189,0.0963,7,0.4118,18.115,0.0,0
2025,00-0033106,J.Goff,DET,17,625,576,38,5,6,0.1577,98.59,7.533,1.7766,4564,48,5,4617,34,0,0,0,34,8,5,13,70.3,60.7,1.96,0.4864,0.0816,30.42,9,215,0.1415,9,0.5294,17.815,0.0,0
2025,00-0033119,J.Brissett,ARI,14,566,487,43,22,14,0.002,1.12,5.996,1.6353,3366,149,20,3535,23,0,1,0,24,8,5,13,62.6,60.0,-0.783,0.4576,0.1025,-9.32,10,212,-0.044,3,0.1765,14.2,0.5,0
2025,00-0033873,P.Mahomes,KC,14,592,503,34,52,3,0.1715,101.5,6.218,0.3364,3587,420,9,4016,22,3,2,0,27,11,0,11,75.5,69.2,1.92,0.5,0.0777,-19.31,1,76,-0.2541,6,0.3529,13.923,1.0,0
2025,00-0034796,L.Jackson,BAL,13,397,302,36,30,29,0.0763,30.31,7.145,1.7587,2549,219,146,2914,21,1,1,0,23,7,5,12,51.5,48.9,1.539,0.4685,0.1234,16.6,7,96,0.1729,8,0.4706,16.96,1.0,0
2025,00-0034855,B.Mayfield,TB,17,630,548,36,42,4,0.0617,38.86,5.966,-2.1161,3693,373,18,4084,26,1,0,0,27,11,4,15,76.6,67.5,1.193,0.4492,0.081,16.75,7,186,0.09,8,0.4706,14.074,0.0,0
2025,00-0034857,J.Allen,BUF,16,600,466,40,48,46,0.1822,109.33,6.759,3.5149,3668,426,173,4267,25,3,11,0,39,10,5,15,67.9,66.1,2.147,0.4983,0.0933,23.22,9,149,0.1558,12,0.7059,20.913,0.0,0
2025,00-0034869,S.Darnold,SEA,17,524,475,27,14,8,0.1199,62.84,7.434,5.2382,4048,89,19,4156,25,0,0,0,25,14,9,23,68.3,55.6,1.088,0.5267,0.0954,3.58,6,178,0.0201,14,0.8235,17.889,0.0,0
2025,00-0035100,J.Browning,CIN,5,142,125,9,4,4,-0.3247,-46.1,3.515,0.3757,771,31,9,811,6,0,1,0,7,8,2,10,14.0,12.5,-0.32,0.4085,0.1338,0.0,0,0,0.0,6,0.3529,17.25,1.0,0
2025,00-0035228,K.Murray,ARI,5,205,161,16,16,12,0.0479,9.81,4.723,-0.5288,962,142,33,1137,6,1,0,0,7,3,2,5,20.1,17.5,0.57,0.439,0.1122,0.0,0,0,0.0,3,0.1765,14.2,0.5,0
2025,00-0035710,D.Jones,IND,13,447,387,22,22,16,0.1699,75.94,7.244,2.2971,3101,148,22,3271,19,1,4,0,24,8,4,12,55.2,44.4,1.573,0.5123,0.0783,-1.36,0,8,-0.1694,8,0.4706,19.417,0.0,0
2025,00-0036212,T.Tagovailoa,MIA,14,431,385,30,11,5,0.0011,0.49,5.277,2.0203,2660,44,2,2706,20,0,0,0,20,15,2,17,51.0,52.6,-0.078,0.4385,0.109,2.25,3,58,0.0388,7,0.4118,13.88,0.0,0
2025,00-0036264,J.Love,GB,15,495,440,21,24,10,0.2645,130.92,7.38,5.533,3381,183,28,3592,23,0,0,0,23,6,2,8,63.8,52.3,4.915,0.5051,0.0586,13.15,4,87,0.1512,9,0.5294,17.0,0.0,0
2025,00-0036355,J.Herbert,LAC,16,640,512,54,49,25,0.0518,33.13,5.938,1.5749,3727,439,71,4237,26,1,1,0,28,13,4,17,76.8,73.7,0.997,0.4766,0.1141,5.06,6,156,0.0324,11,0.6471,13.63,0.0,0
2025,00-0036389,J.Hurts,PHI,16,579,454,32,40,53,0.0894,51.75,6.735,3.1833,3224,266,170,3660,25,2,6,0,33,6,6,12,70.0,76.7,0.677,0.4525,0.0864,8.05,6,136,0.0592,11,0.6471,14.037,0.5,0
