season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2011,00-0003292,K.Collins,IND,3,102,96,5,0,1,-0.2912,-29.7,4.317,-10.8268,481,0,0,481,2,0,0,0,2,1,3,4,10.2,8.0,-0.919,0.3824,0.0882,0.0,0,0,0.0,2,0.125,9.0,0.0,0
2011,00-0007091,M.Hasselbeck,TEN,16,541,513,19,7,2,-0.0148,-8.0,5.818,-1.0235,3518,44,20,3582,18,0,0,0,18,14,5,19,65.7,54.5,0.089,0.4288,0.0721,-16.52,3,128,-0.1291,9,0.5625,11.607,0.0,0
2011,00-0011022,D.McNabb,MIN,6,184,156,16,8,4,-0.084,-15.46,5.25,-3.1374,1026,65,-4,1087,4,1,0,0,5,2,2,4,21.0,11.9,-1.002,0.3967,0.1196,0.0,0,0,0.0,3,0.1875,11.724,0.0,0
2011,00-0019596,T.Brady,NE,16,675,609,32,13,21,0.3,202.47,8.158,3.9087,5162,73,46,5281,39,0,3,0,42,12,3,15,75.9,72.4,5.015,0.557,0.0696,53.22,12,177,0.3007,13,0.8125,19.731,2.0,0
2011,00-0020245,M.Vick,PHI,13,508,418,23,51,16,0.1183,60.11,6.592,1.0852,3303,531,65,3899,18,1,0,0,19,14,7,21,65.5,43.2,1.55,0.5098,0.0886,26.06,8,138,0.1889,8,0.5,12.774,1.0,0
2011,00-0020305,A.Feeley,LA,4,108,97,10,1,0,-0.2678,-28.92,3.794,-8.8933,548,6,0,554,1,0,0,0,1,2,3,5,11.4,5.0,-0.282,0.3611,0.1389,0.0,0,0,0.0,0,0.0,0.0,0.0,0
2011,00-0020531,D.Brees,NO,16,699,658,24,12,5,0.3046,212.91,8.309,7.2989,5535,82,8,5625,46,1,0,0,47,14,3,17,73.7,74.6,4.74,0.5479,0.0601,74.33,16,169,0.4398,13,0.8125,21.038,0.0,0
2011,00-0021429,C.Palmer,LV,10,342,311,17,5,9,0.1011,34.57,6.707,2.7707,2689,23,-2,2710,13,0,1,0,14,14,3,17,44.3,35.0,1.176,0.4912,0.1082,26.52,5,142,0.1868,0,0.0,0.0,0.0,0
2011,00-0021678,T.Romo,DAL,16,565,518,36,7,4,0.1474,83.26,7.449,4.4282,4184,51,2,4237,31,0,1,0,32,10,6,16,68.4,78.0,2.816,0.4867,0.092,24.84,10,112,0.2218,8,0.5,13.667,0.0,0
2011,00-0022055,S.Wallace,CLE,5,117,105,6,5,1,-0.1239,-14.49,4.387,-10.287,567,74,-3,638,2,0,0,0,2,2,1,3,14.0,9.5,-0.803,0.359,0.0855,-13.69,2,116,-0.118,4,0.25,8.385,0.0,0
