season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2006,00-0001361,D.Bledsoe,DAL,6,192,169,16,4,3,-0.0204,-3.91,4.524,-3.6852,1164,26,3,1193,7,1,1,0,9,8,1,9,20.3,18.4,-0.552,0.4219,0.1302,0.0,0,0,0.0,9,0.5625,14.655,0.0,0
2006,00-0001823,A.Brooks,LV,8,237,190,26,11,10,-0.2797,-66.28,2.921,-2.024,1105,87,38,1230,3,0,0,0,3,8,7,15,29.1,21.4,-1.869,0.3966,0.173,-32.7,1,97,-0.3371,0,0.0,0.0,0.0,0
2006,00-0002110,M.Brunell,WAS,10,285,262,12,5,6,-0.0184,-5.24,6.12,-1.571,1789,32,4,1825,8,0,0,0,8,4,3,7,34.6,23.5,-0.356,0.4246,0.0667,-0.39,0,1,-0.3853,5,0.3125,10.964,0.0,0
2006,00-0003739,D.Culpepper,MIA,4,162,134,20,5,3,-0.1096,-17.76,4.442,-0.7762,929,20,3,952,2,1,0,0,3,3,0,3,18.3,12.0,-0.836,0.4136,0.142,0.0,0,0,0.0,6,0.375,9.63,0.0,0
2006,00-0004161,J.Delhomme,CAR,13,457,431,22,4,0,-0.0109,-4.97,5.481,1.265,2805,26,0,2831,17,0,0,0,17,11,5,16,55.3,65.4,-0.707,0.4376,0.0832,11.44,2,27,0.4237,8,0.5,9.31,0.5,0
2006,00-0005106,B.Favre,GB,16,642,611,21,1,9,-0.027,-17.3,5.215,-5.3562,3885,14,24,3923,18,0,1,0,19,18,7,25,69.9,65.5,-0.183,0.4221,0.0763,-5.04,3,168,-0.03,8,0.5,11.148,0.0,0
2006,00-0005755,J.Garcia,PHI,8,212,189,6,13,4,0.0898,19.03,7.072,0.6109,1309,92,2,1403,10,0,0,0,10,2,2,4,23.5,20.4,0.891,0.4528,0.0472,13.49,4,92,0.1466,10,0.625,13.267,0.0,0
2006,00-0006355,T.Green,KC,8,233,198,24,8,3,-0.0233,-5.43,4.279,0.7418,1342,53,12,1407,7,0,0,0,7,9,3,12,26.4,18.9,-0.813,0.4592,0.1545,-17.02,3,133,-0.128,9,0.5625,12.731,0.5,0
2006,00-0007091,M.Hasselbeck,SEA,12,417,369,34,9,5,-0.0095,-3.96,4.71,-2.4641,2442,75,40,2557,18,0,0,0,18,15,3,18,49.6,47.4,0.002,0.4317,0.1247,4.15,5,149,0.0278,9,0.5625,11.167,0.0,0
2006,00-0007835,D.Huard,KC,10,267,245,16,2,4,0.0769,20.53,7.46,-3.2746,1878,12,0,1890,11,0,0,0,11,1,5,6,35.4,29.7,0.466,0.4232,0.0824,2.66,0,3,0.8867,9,0.5625,12.731,0.5,0
