season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2012,00-0007091,M.Hasselbeck,TEN,8,243,222,14,6,1,-0.1186,-28.83,4.996,-1.0785,1367,45,0,1412,7,0,0,0,7,5,4,9,28.5,21.9,0.17,0.428,0.0947,0.0,0,0,0.0,6,0.375,11.379,0.0,0
2012,00-0010346,P.Manning,DEN,16,609,581,21,5,2,0.2514,153.1,7.919,7.3683,4659,28,-2,4685,37,0,0,0,37,11,6,17,72.0,72.5,3.149,0.5287,0.0657,59.18,8,140,0.4227,13,0.8125,16.033,0.0,0
2012,00-0019596,T.Brady,NE,16,679,635,27,4,13,0.278,188.75,7.5,1.787,4827,22,16,4865,34,1,3,0,38,8,3,11,69.4,63.3,3.488,0.5376,0.0604,36.0,10,187,0.1925,12,0.75,17.406,1.0,0
2012,00-0020245,M.Vick,PHI,10,432,349,28,39,16,-0.0227,-9.79,5.302,0.2107,2362,309,30,2701,12,0,1,0,13,10,6,16,48.2,37.1,-0.767,0.4329,0.1065,-0.66,1,41,-0.016,4,0.25,9.032,0.0,0
2012,00-0020531,D.Brees,NO,16,697,667,26,3,1,0.1424,99.23,7.203,0.9945,5177,15,1,5193,43,0,1,0,44,19,4,23,76.8,78.6,2.157,0.5036,0.0703,46.28,12,182,0.2543,7,0.4375,16.464,0.0,0
2012,00-0021429,C.Palmer,LV,15,604,564,26,4,10,0.0203,12.24,6.151,-0.4272,4018,25,14,4057,22,0,1,0,23,14,7,21,71.8,76.7,-0.243,0.4536,0.0795,3.58,2,66,0.0542,0,0.0,0.0,0.0,0
2012,00-0021678,T.Romo,DAL,16,700,647,36,9,8,0.1108,77.56,6.362,2.7152,4903,65,6,4974,28,0,1,0,29,19,5,24,80.0,72.5,1.643,0.5071,0.0871,29.94,9,175,0.1711,8,0.5,13.429,0.0,0
2012,00-0022787,M.Schaub,HOU,16,576,544,27,2,3,0.1453,83.7,6.466,0.3659,4008,10,0,4018,22,0,0,0,22,12,0,12,65.0,53.7,2.924,0.4774,0.0677,-0.72,1,144,-0.005,12,0.75,13.419,0.0,0
2012,00-0022803,E.Manning,NYG,16,565,536,19,9,1,0.1001,56.58,6.589,0.7349,3948,41,0,3989,26,0,0,0,26,15,1,16,68.8,56.5,1.848,0.4814,0.0619,2.14,10,115,0.0186,9,0.5625,14.793,0.0,0
2012,00-0022924,B.Roethlisberger,PIT,13,492,445,30,12,5,0.1279,62.94,6.827,2.4679,3265,90,13,3368,26,0,0,0,26,8,5,13,61.9,66.7,2.039,0.5,0.0874,-1.34,9,151,-0.0089,8,0.5,11.2,0.0,0
2012,00-0022942,P.Rivers,LAC,16,593,525,49,10,9,-0.0237,-14.05,5.47,2.8971,3606,53,-4,3655,26,0,0,0,26,15,8,23,72.8,78.8,-1.292,0.4401,0.1332,1.12,8,124,0.009,0,0.0,0.0,0.0,0
2012,00-0023436,A.Smith,SF,10,264,218,24,13,9,0.1464,38.64,6.756,5.2337,1737,103,39,1879,13,0,0,0,13,5,1,6,32.7,31.0,0.905,0.5038,0.1136,-0.57,0,1,-0.566,11,0.6875,13.69,0.0,0
2012,00-0023459,A.Rodgers,GB,16,644,552,51,35,6,0.1984,127.75,7.333,5.836,4295,255,21,4571,39,1,1,0,41,8,5,13,78.7,83.7,2.827,0.514,0.0994,42.1,12,159,0.2648,11,0.6875,14.931,0.0,0
2012,00-0023662,M.Cassel,KC,9,314,270,19,16,9,-0.163,-51.18,4.412,-1.9136,1796,136,11,1943,6,0,1,0,7,12,9,21,37.8,31.8,-1.36,0.4363,0.1306,0.0,0,0,0.0,2,0.125,7.536,0.0,0
2012,00-0023682,R.Fitzpatrick,BUF,16,572,503,30,31,8,-0.0095,-5.41,5.627,-1.5371,3400,185,19,3604,24,0,1,0,25,16,11,27,65.9,65.8,-0.761,0.4213,0.1014,-22.84,4,151,-0.1512,6,0.375,11.467,0.0,0
2012,00-0024226,J.Cutler,CHI,15,498,435,38,24,1,-0.0164,-8.15,5.355,-1.0629,3033,248,0,3281,19,0,0,0,19,14,5,19,65.5,55.9,-0.65,0.4197,0.1145,-21.5,4,137,-0.157,10,0.625,12.931,0.5,0
2012,00-0025409,B.Quinn,KC,10,233,197,21,12,3,-0.3371,-78.55,3.202,-4.2067,1141,66,3,1210,2,0,0,0,2,8,0,8,23.6,9.1,-1.217,0.3519,0.1245,-57.88,0,111,-0.5214,2,0.125,7.536,0.0,0
2012,00-0025423,K.Kolb,ARI,6,222,183,27,7,5,-0.0623,-13.82,4.929,-4.6563,1169,89,14,1272,8,0,1,0,9,3,2,5,28.4,32.1,-0.23,0.4324,0.1486,0.0,0,0,0.0,5,0.3125,8.333,0.0,0
2012,00-0026143,M.Ryan,ATL,16,667,616,28,20,3,0.2136,142.5,7.017,5.6589,4719,148,4,4871,32,1,0,0,33,14,3,17,81.4,73.3,3.433,0.5247,0.0675,51.16,10,164,0.312,13,0.8125,14.964,0.0,0
2012,00-0026158,J.Flacco,BAL,16,588,532,35,3,18,0.0184,10.85,6.314,0.0191,3817,24,10,3851,22,0,3,0,25,10,4,14,66.1,59.5,0.049,0.4235,0.0918,-8.29,8,118,-0.0703,10,0.625,13.724,0.0,0
2012,00-0026197,C.Henne,JAX,10,350,306,28,11,5,-0.1508,-52.78,4.91,-4.9404,2084,57,10,2151,11,0,1,0,12,11,3,14,42.9,40.0,-0.581,0.4,0.12,-33.26,3,188,-0.1769,2,0.125,8.793,0.0,0
2012,00-0026498,M.Stafford,DET,16,784,724,29,19,12,0.0163,12.8,5.83,-2.5444,4967,102,28,5097,20,0,4,0,24,17,9,26,76.6,53.3,-0.269,0.4732,0.0702,-28.45,5,201,-0.1416,4,0.25,11.273,1.0,0
2012,00-0026898,M.Sanchez,NYJ,15,503,452,34,8,9,-0.195,-98.09,4.37,-6.1546,2883,30,3,2916,13,0,0,0,13,18,11,29,58.2,44.8,-3.47,0.4115,0.1272,-40.83,1,94,-0.4343,6,0.375,10.036,0.0,0
2012,00-0026993,J.Freeman,TB,16,616,560,26,19,11,0.0427,26.28,6.278,-4.16,4065,147,16,4228,27,0,0,0,27,17,2,19,72.2,62.8,0.925,0.4237,0.0731,-35.13,4,188,-0.1868,7,0.4375,13.893,0.0,0
2012,00-0027754,J.Skelton,ARI,7,219,200,15,2,2,-0.3177,-69.57,3.112,-9.578,1132,3,2,1137,2,0,0,0,2,9,2,11,25.4,7.1,-1.566,0.3699,0.1187,-28.23,0,25,-1.1294,5,0.3125,8.333,0.0,0
2012,00-0027854,S.Bradford,LA,16,605,549,35,17,4,0.0101,6.09,5.658,-2.1072,3702,133,2,3837,21,0,1,0,22,13,3,16,71.4,73.3,0.998,0.4562,0.086,12.27,7,175,0.0701,0,0.0,0.0,0.0,0
2012,00-0027939,C.Newton,CAR,16,636,483,36,35,82,0.159,101.1,6.676,-1.6395,3869,291,462,4622,19,1,7,0,27,12,3,15,80.9,61.4,1.278,0.4654,0.0943,47.54,7,162,0.2935,7,0.4375,12.75,0.0,0
2012,00-0027946,J.Locker,TEN,11,379,314,25,30,10,-0.0488,-18.48,5.103,-3.7366,2176,269,23,2468,10,0,1,0,11,11,5,16,49.8,34.4,-0.207,0.3799,0.1135,-23.43,3,135,-0.1735,6,0.375,11.379,0.0,0
2012,00-0027948,B.Gabbert,JAX,10,320,282,22,9,7,-0.1406,-45.0,4.651,-5.2153,1662,50,8,1720,9,0,0,0,9,6,4,10,34.3,30.0,-0.346,0.4094,0.1,0.0,0,0,0.0,2,0.125,8.793,0.0,0
2012,00-0027950,C.Ponder,MIN,16,561,485,32,38,6,-0.0164,-9.21,4.973,-2.3841,2935,264,7,3206,18,2,0,0,20,12,6,18,60.2,57.1,0.467,0.426,0.0927,17.1,5,113,0.1513,10,0.625,14.037,1.0,0
2012,00-0027973,A.Dalton,CIN,16,602,525,46,19,12,0.0064,3.86,5.709,1.4555,3669,113,22,3804,27,1,3,0,31,16,8,24,69.7,72.1,-0.046,0.4535,0.1196,-27.04,4,141,-0.1918,10,0.625,13.033,1.0,0
2012,00-0027974,C.Kaepernick,SF,13,291,218,16,24,33,0.1712,49.83,7.551,4.4803,1814,204,220,2238,10,0,5,0,15,3,4,7,38.9,35.7,1.239,0.4811,0.0928,18.07,8,139,0.13,11,0.6875,13.69,0.0,0
