season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2021,00-0019596,T.Brady,TB,17,757,718,22,10,7,0.195,147.63,7.422,1.6914,5316,76,14,5406,43,0,2,0,45,12,5,17,77.3,71.4,4.017,0.5165,0.0515,44.81,10,225,0.1991,13,0.7647,18.926,0.0,0
2021,00-0022924,B.Roethlisberger,PIT,16,653,608,38,3,4,-0.0702,-45.82,5.404,-2.3932,3740,18,-1,3757,22,0,1,0,23,10,6,16,67.8,67.6,0.035,0.3951,0.0842,-40.95,7,207,-0.1978,9,0.5294,11.828,0.5,0
2021,00-0023459,A.Rodgers,GB,16,580,529,30,17,4,0.244,141.49,8.027,5.7724,4115,111,3,4229,37,2,1,0,40,4,0,4,67.1,76.9,4.668,0.5121,0.0586,55.79,14,173,0.3225,13,0.7647,18.0,1.0,0
2021,00-0026143,M.Ryan,ATL,17,633,561,40,17,15,-0.0421,-26.67,5.913,1.7592,3968,79,21,4068,20,1,0,0,21,12,9,21,75.8,61.8,0.86,0.4581,0.0979,-23.48,4,168,-0.1397,7,0.4118,12.52,0.0,0
2021,00-0026498,M.Stafford,LA,17,649,604,30,8,7,0.192,124.58,7.41,-0.1168,4886,49,11,4946,41,0,0,0,41,17,2,19,75.6,73.2,3.238,0.5039,0.077,24.12,11,179,0.1347,12,0.7059,17.692,1.0,0
2021,00-0027688,C.McCoy,ARI,4,116,99,6,3,8,0.1109,12.86,6.81,3.5182,740,13,33,786,3,0,0,0,3,1,1,2,12.1,5.9,0.423,0.5,0.0776,-2.04,0,10,-0.2044,11,0.6471,18.708,0.0,0
2021,00-0027939,C.Newton,CAR,7,183,127,10,5,41,-0.1957,-35.81,3.328,-12.6353,684,36,195,915,4,0,5,0,9,5,1,6,17.6,27.3,-0.733,0.4153,0.1038,-28.93,3,115,-0.2516,5,0.2941,10.133,0.0,0
2021,00-0027973,A.Dalton,CHI,8,269,238,18,12,1,-0.1045,-28.11,4.402,-4.1952,1515,82,0,1597,8,0,0,0,8,9,1,10,30.7,25.0,0.182,0.4312,0.1041,-25.69,2,96,-0.2676,6,0.3529,12.958,0.0,0
2021,00-0028118,T.Taylor,HOU,6,180,149,13,15,3,-0.053,-9.54,4.457,-3.626,966,148,4,1118,5,3,0,0,8,5,2,7,23.0,27.6,-0.409,0.4222,0.1111,0.0,0,0,0.0,4,0.2353,10.769,0.0,0
2021,00-0029263,R.Wilson,SEA,14,472,402,33,23,14,0.0264,12.44,7.074,3.1963,3113,167,21,3301,25,2,0,0,27,6,4,10,58.0,55.1,0.257,0.4428,0.0975,30.05,12,160,0.1878,7,0.4118,15.192,0.0,0
2021,00-0029604,K.Cousins,MIN,16,607,559,28,15,5,0.1098,66.66,7.443,1.3503,4221,124,6,4351,33,0,1,0,34,7,3,10,69.5,77.3,3.106,0.453,0.0626,-3.34,8,131,-0.0255,8,0.4706,15.179,0.0,0
2021,00-0029701,R.Tannehill,TEN,17,623,531,47,19,26,0.0853,53.15,5.531,2.3622,3734,188,91,4013,21,3,4,0,28,14,8,22,67.2,60.9,1.728,0.5104,0.1124,19.54,9,172,0.1136,12,0.7059,16.115,0.0,0
2021,00-0030520,M.Glennon,NYG,6,180,165,9,4,2,-0.4701,-84.62,2.023,-7.878,790,31,0,821,4,1,0,0,5,10,3,13,16.7,19.2,-1.239,0.35,0.1222,-67.04,4,109,-0.615,4,0.2353,10.32,0.0,0
2021,00-0030565,G.Smith,SEA,4,114,94,13,4,3,0.0174,1.99,5.981,6.505,702,37,7,746,5,0,1,0,6,1,1,2,13.1,12.2,-0.424,0.4386,0.1316,0.0,0,0,0.0,7,0.4118,15.192,0.0,0
2021,00-0031237,T.Bridgewater,DEN,14,484,429,31,15,9,0.1337,64.69,6.274,3.9106,3052,99,13,3164,18,1,1,0,20,7,2,9,55.1,51.3,0.917,0.4876,0.0826,-0.11,2,53,-0.002,7,0.4118,13.958,0.0,0
2021,00-0031280,D.Carr,LV,17,696,626,40,17,13,0.0362,25.22,6.596,2.1973,4804,107,11,4922,23,0,0,0,23,14,8,22,77.8,57.5,3.144,0.4641,0.0891,-16.72,6,194,-0.0862,10,0.5882,13.852,0.0,0
2021,00-0031345,J.Garoppolo,SF,15,494,440,29,6,19,0.1665,82.25,7.397,2.6226,3810,22,37,3869,20,0,3,0,23,12,7,19,59.6,47.9,3.673,0.496,0.0972,25.74,5,146,0.1763,10,0.5882,15.815,0.5,0
2021,00-0031503,J.Winston,NO,7,196,161,11,17,7,0.1973,38.66,7.244,-3.1375,1170,162,12,1344,14,1,0,0,15,3,2,5,26.2,34.1,0.997,0.4898,0.0816,0.0,0,0,0.0,9,0.5294,13.0,0.0,0
2021,00-0031800,T.Heinicke,WAS,16,583,494,38,40,11,-0.0562,-32.78,5.387,0.2986,3419,277,44,3740,20,1,0,0,21,15,5,20,67.5,58.3,0.362,0.446,0.1012,-62.97,2,122,-0.5161,7,0.4118,12.885,0.0,0
2021,00-0032156,T.Siemian,NO,6,206,192,9,3,2,-0.0514,-10.59,5.846,-4.7217,1154,22,2,1178,11,1,0,0,12,3,1,4,22.9,27.3,-0.419,0.4126,0.0631,0.53,2,17,0.0311,9,0.5294,13.0,0.0,0
2021,00-0032950,C.Wentz,IND,17,598,520,32,26,20,0.0405,24.2,6.451,-2.1208,3563,185,43,3791,27,0,1,0,28,7,6,13,63.6,56.0,0.127,0.4565,0.0753,-6.42,5,120,-0.0535,9,0.5294,17.346,1.0,0
2021,00-0033077,D.Prescott,DAL,16,666,601,30,20,15,0.1417,94.35,7.282,2.3142,4449,128,14,4591,37,1,0,0,38,10,6,16,66.0,66.7,2.643,0.4955,0.0706,43.84,14,206,0.2128,12,0.7059,18.929,0.0,0
2021,00-0033106,J.Goff,DET,14,546,494,35,11,6,-0.0865,-47.22,5.643,0.553,3245,67,20,3332,19,0,0,0,19,8,7,15,58.6,51.4,0.433,0.4524,0.0934,16.07,6,102,0.1576,3,0.1765,12.037,0.0,0
2021,00-0033119,J.Brissett,MIA,10,262,225,19,13,5,-0.0891,-23.36,4.389,-2.2146,1283,65,6,1354,5,1,0,0,6,4,4,8,25.4,17.6,0.431,0.4275,0.1031,-0.32,0,2,-0.1621,9,0.5294,13.115,0.0,0
2021,00-0033357,T.Hill,NO,11,209,132,9,16,52,0.0306,6.4,5.454,-7.096,978,118,259,1355,4,0,5,0,9,5,0,5,26.4,20.5,0.618,0.4737,0.0861,14.34,4,127,0.1129,9,0.5294,13.0,0.0,0
2021,00-0033873,P.Mahomes,KC,17,738,659,28,46,5,0.2069,152.66,7.057,2.6736,4839,401,-5,5235,37,2,0,0,39,13,6,19,80.5,72.2,4.592,0.5285,0.065,76.35,12,201,0.3798,12,0.7059,20.0,1.0,0
2021,00-0034401,M.White,NYJ,4,139,133,4,0,2,-0.0574,-7.98,4.927,-2.0921,953,0,3,956,5,0,0,0,5,8,3,11,17.6,14.7,0.209,0.4964,0.1079,0.0,0,0,0.0,4,0.2353,11.481,0.0,0
2021,00-0034796,L.Jackson,BAL,12,549,383,38,49,79,0.054,29.65,5.765,0.6795,2882,388,384,3654,16,0,2,0,18,13,4,17,59.3,41.9,1.516,0.4918,0.1075,-4.05,0,7,-0.5781,8,0.4706,13.345,0.5,0
2021,00-0034855,B.Mayfield,CLE,14,491,419,43,25,4,-0.0121,-5.96,5.403,-2.7187,3010,131,11,3152,17,1,0,0,18,13,5,18,53.2,42.9,-1.173,0.4358,0.1242,-13.61,6,128,-0.1063,8,0.4706,13.423,0.0,0
2021,00-0034857,J.Allen,BUF,17,787,649,26,46,66,0.1684,132.5,6.353,2.0976,4407,440,334,5181,36,1,5,0,42,15,4,19,83.3,75.0,1.394,0.5159,0.061,45.5,13,255,0.1784,11,0.6471,17.889,0.0,0
2021,00-0034869,S.Darnold,CAR,12,482,407,35,23,17,-0.1542,-74.35,4.339,-4.8874,2527,187,46,2760,9,0,5,0,14,13,5,18,53.2,42.4,-0.459,0.4212,0.11,-41.99,2,123,-0.3414,5,0.2941,10.133,0.0,0
