season,passer_id,player_name,team,games,dropbacks,epa_per_db,total_epa,any_a,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,team_wins,pts_per_drive,total_plays,epa_per_play,pass_att,sacks,scrambles,designed_runs,late_epa,late_tds,late_plays,late_epa_per_play,pct_team_yards,pct_team_tds,wpa_total,close_epa,close_epa_per_play,wins_vs_top10,wins_vs_top10_x,wins_vs_top10_y,success_rate,negative_play_rate,cpoe,win_pct,offensive_allpros_nqb,last_name,z_epa_per_play,z_total_epa,z_any_a,z_total_yards,z_total_tds,z_turnovers,z_pts_per_drive,z_team_wins,z_late_epa,z_late_epa_per_play,z_late_tds,z_pct_team_yards,z_pct_team_tds,z_wpa_total,z_success_rate,z_negative_play_rate,z_cpoe,z_win_pct,z_offensive_allpros_nqb,vote_pct,won,raw_index,mvp_index
1999,00-0015082,A.Smith,CIN,7,,,-43.59,2.665,793,0,3,796,2,0,1,0,3,6,0,6,4,10.481,175.0,-0.2491,151.0,19.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,10.0,-0.987,,,0.0,,,0.36,0.1429,,0.25,0.0,smith,-1.4585002267053535,-0.8285798626184755,-1.7571783525330427,-1.2441416745004057,-1.1954323141103727,1.2260544128181103,0.16684378140259845,-0.854680508409067,0.043187057619732024,0.24379957940798808,-1.0181819888728785,-1.373782026432109,-1.4129961649776877,-0.19781334252538707,-1.026939690391608,-0.9944164526863192,0.0,-0.854680508409067,0.28621583576728044,0.0,False,-0.7486199479520343,13.6
1999,00-0005106,B.Favre,GB,16,,,0.14,5.246,4068,8,13,4089,22,0,0,0,22,23,8,31,8,12.31,633.0,0.0002,588.0,34.0,2.0,9.0,0.11,5.0,172.0,0.0006,74.9,57.9,0.564,,,0.0,,,0.4186,0.1027,,0.5,0.0,favre,0.3750504803718133,0.1700805730832954,0.1871396678082891,1.7930271648325784,1.0357281935612463,-2.693556881357434,0.6919268500676001,0.2698991079186527,0.04966806217385279,0.24640251452391382,0.6031269106062274,1.7247766530827573,1.1244004123047304,1.1587859423033866,0.23165958716199914,0.5102335547658796,0.0,0.2698991079186527,0.28621583576728044,0.0,False,0.4563971743390387,53.6
1999,00-0006423,B.Griese,DEN,14,,,-5.52,5.288,3006,0,21,3027,14,0,2,0,16,14,5,19,6,10.467,490.0,-0.0113,442.0,27.0,0.0,21.0,5.6,5.0,155.0,0.0361,57.7,51.6,-2.789,,,0.0,,,0.4347,0.098,,0.375,0.0,griese,0.2904703234067615,0.040823356845654836,0.2187790931683571,0.8135332968181147,0.33115119113862984,-0.8121434601531727,0.1628245561640475,-0.29239070024520714,0.37312910764769835,0.40040950888285143,0.6031269106062274,0.819934390134443,0.7906718436851224,-1.7739525503019509,0.5774522214386715,0.6861503466819326,0.0,-0.29239070024520714,0.28621583576728044,0.0,False,0.09022621233847644,41.5
1999,00-0007530,B.Hobert,NO,9,,,-3.01,4.621,965,0,5,970,6,0,1,0,7,5,1,6,3,7.879,173.0,-0.0174,158.0,11.0,0.0,4.0,-2.28,0.0,3.0,-0.759,19.6,25.0,0.392,,,0.0,,,0.3873,0.0983,,0.1875,0.0,hobert,0.2456060662339949,0.09814413648460851,-0.28368511433558236,-1.0836596283285445,-0.725714312495295,1.2260544128181103,-0.5801579379338335,-1.1358254124909968,-0.09114649132022568,-3.0489133422380306,-1.0181819888728785,-1.1843964365126944,-0.6184043349310014,1.0083442421160564,-0.44059565835724895,0.6749216152830357,0.0,-1.1358254124909968,0.28621583576728044,0.0,False,-0.24953887402771086,30.2
1999,00-0008442,B.Johnson,WAS,16,,,50.17,6.827,3988,16,2,4006,24,0,2,0,26,13,8,21,10,15.821,553.0,0.0907,515.0,28.0,4.0,6.0,21.37,6.0,130.0,0.1644,66.4,52.0,1.072,,,0.0,,,0.434,0.0886,,0.625,0.0,johnson,1.040659541705482,1.3126138819824402,1.378138036719426,1.7164753841873803,1.505446195176324,-1.1257123636872164,1.6998911223928161,0.8321889160825126,1.3022694878157393,0.9570038011716315,0.9273886905020485,1.2776162324396951,0.8118609591530339,1.6031137544845708,0.5624177590788165,1.037983930514039,0.0,0.8321889160825126,0.28621583576728044,0.0,False,1.0701456832528324,74.0
1999,00-0016534,B.Tolliver,NO,10,,,-20.17,4.594,1897,0,11,1908,7,0,3,0,10,13,1,14,3,7.879,292.0,-0.0691,264.0,19.0,0.0,9.0,-29.26,2.0,70.0,-0.4179,38.5,35.7,-1.362,,,0.0,,,0.3904,0.113,,0.1875,0.0,tolliver,-0.13463690029584677,-0.29373816574823824,-0.3040247449241977,-0.21853227597678634,-0.3734258112839868,-0.028221201318063875,-0.5801579379338335,-1.1358254124909968,-1.680760153776392,-1.5691447288342661,-0.36965842908123614,-0.19012208943576805,-0.05159549616436503,-0.5258112353756709,-0.3740144679064599,0.1247137767370823,0.0,-1.1358254124909968,0.28621583576728044,0.0,False,-0.4242123919045102,24.4
1999,00-0000865,C.Batch,DET,11,,,-15.54,5.484,1908,0,8,1916,13,0,1,0,14,7,1,8,8,11.5,310.0,-0.0501,268.0,36.0,0.0,6.0,-1.57,2.0,84.0,-0.0186,37.6,43.8,-0.584,,,0.0,,,0.3935,0.1452,,0.5,0.0,batch,0.005104228602934484,-0.18800302243016823,0.366429744848675,-0.21115379109532145,0.09629219033109096,0.9124855092840668,0.45938596126571307,0.2698991079186527,-0.049314552834537104,0.1631085908142912,-0.36965842908123614,-0.23746848691562164,0.37748409206084527,0.1546750596577179,-0.30743327745567206,-1.080503393411196,0.0,0.2698991079186527,0.28621583576728044,0.0,False,0.008370901202969998,38.7
1999,00-0002876,C.Chandler,ATL,12,,,-14.91,5.778,2335,0,6,2341,16,0,1,0,17,11,3,14,5,10.556,342.0,-0.0436,302.0,32.0,0.0,8.0,15.49,4.0,81.0,0.1912,49.1,50.0,-1.148,,,0.0,,,0.4094,0.1345,,0.3125,0.0,chandler,0.05291040427883333,-0.1736157351104309,0.5879057223691518,0.18082821823250067,0.44858069154239927,-0.028221201318063875,0.18837534518055074,-0.573535604327137,0.9558303352863745,1.0732682363496464,0.27886513071040614,0.367513258660286,0.7059153818134758,-0.3386337711891088,0.034063796146756316,-0.6800119735172033,0.0,-0.573535604327137,0.28621583576728044,0.0,False,0.15766700095156214,43.7
1999,00-0011044,C.McNown,CHI,15,,,-18.94,4.688,1452,25,16,1493,8,0,0,0,8,8,3,11,6,9.379,258.0,-0.0734,229.0,18.0,4.0,7.0,-6.01,4.0,103.0,-0.0583,27.4,24.2,-1.294,,,0.0,,,0.3992,0.1163,,0.375,0.0,mcnown,-0.1662625242045184,-0.26564870002875096,-0.23321269768975986,-0.6012911792027774,-0.6082848120915256,0.4421321539830015,-0.14952666237478363,-0.29239070024520714,-0.3109114639281389,-0.009118949356126359,0.27886513071040614,-0.7740609916872964,-0.6607825658668247,-0.4663342841388194,-0.1850097982397073,0.0011977313492153201,0.0,-0.29239070024520714,0.28621583576728044,0.0,False,-0.24666081712723203,30.3
1999,00-0001361,D.Bledsoe,NE,16,,,-36.72,5.19,3969,0,25,3994,19,0,0,0,19,21,6,27,8,9.061,601.0,-0.0611,535.0,55.0,0.0,11.0,-41.54,2.0,159.0,-0.2613,75.3,65.5,-2.946,,,0.0,,,0.416,0.1364,,0.5,0.0,bledsoe,-0.07579853023320206,-0.6716899199413392,0.14495376732819817,1.705407656865183,0.6834396923499381,-2.066419074289347,-0.2408204927933021,0.2698991079186527,-2.4042759349091467,-0.8897786635776569,-0.36965842908123614,1.745819496407136,1.5269936061950515,-1.9112743347752696,0.1758172983968211,-0.7511272723768838,0.0,0.2698991079186527,0.28621583576728044,0.0,False,-0.3174144847025134,27.9
