season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2015,00-0007091,M.Hasselbeck,IND,8,279,256,16,6,1,-0.0217,-6.05,5.676,-2.263,1690,21,4,1715,9,0,0,0,9,5,3,8,33.3,27.3,0.053,0.4552,0.086,-18.13,1,88,-0.206,8,0.5,10.406,0.0,0
2015,00-0010346,P.Manning,DEN,10,346,330,16,0,0,-0.0991,-34.29,4.535,-2.3888,2249,0,0,2249,9,0,0,0,9,17,1,18,38.2,25.7,-0.696,0.3988,0.0983,0.1,0,10,0.0098,12,0.75,11.452,0.0,0
2015,00-0019596,T.Brady,NE,16,680,622,38,7,13,0.1856,126.19,7.5,-0.0933,4770,51,18,4839,36,0,3,0,39,7,4,11,78.2,75.0,2.099,0.4721,0.0721,19.37,5,127,0.1525,12,0.75,16.034,1.0,0
2015,00-0020531,D.Brees,NO,15,665,626,31,3,5,0.1396,92.86,7.275,2.0487,4870,26,4,4900,32,0,1,0,33,11,5,16,73.3,66.0,3.758,0.4677,0.0722,72.93,9,177,0.412,7,0.4375,13.6,0.0,0
2015,00-0021206,J.McCown,CLE,8,338,296,23,12,7,0.0097,3.3,6.37,0.7404,2109,92,7,2208,12,1,0,0,13,4,8,12,41.0,48.1,0.075,0.4467,0.1036,0.0,0,0,0.0,3,0.1875,9.586,0.0,0
2015,00-0021429,C.Palmer,ARI,16,564,531,25,7,1,0.2615,147.5,8.498,5.2834,4671,40,0,4711,35,1,0,0,36,11,5,16,70.5,69.2,3.763,0.5106,0.0727,30.72,6,126,0.2438,13,0.8125,18.111,0.5,0
2015,00-0021678,T.Romo,DAL,4,129,121,6,2,0,-0.1457,-18.79,4.992,2.9095,884,15,0,899,5,0,0,0,5,7,2,9,16.5,17.2,0.027,0.4884,0.1163,0.0,0,0,0.0,4,0.25,11.458,0.0,0
2015,00-0022803,E.Manning,NYG,16,655,617,27,8,3,0.0683,44.75,6.747,-1.2532,4432,70,0,4502,35,0,0,0,35,14,6,20,74.4,79.5,2.126,0.4565,0.0718,-11.54,11,157,-0.0735,6,0.375,14.0,0.0,0
2015,00-0022924,B.Roethlisberger,PIT,12,503,477,20,4,2,0.1862,93.67,7.036,6.5209,3938,34,4,3976,21,0,0,0,21,16,3,19,61.9,50.0,1.494,0.5169,0.0775,11.88,6,173,0.0687,10,0.625,14.586,1.0,0
2015,00-0022942,P.Rivers,LAC,16,715,663,40,9,3,0.0651,46.52,6.434,2.7373,4792,37,-1,4828,29,0,0,0,29,13,6,19,78.1,74.4,-0.09,0.4741,0.0839,9.12,6,176,0.0518,0,0.0,0.0,0.0,0
2015,00-0023436,A.Smith,KC,16,590,473,45,54,18,0.0735,43.34,6.44,-0.218,3486,430,80,3996,20,2,0,0,22,7,4,11,78.0,53.7,1.755,0.4576,0.0949,14.73,6,124,0.1188,11,0.6875,14.464,0.0,0
2015,00-0023459,A.Rodgers,GB,16,667,575,46,42,4,0.0141,9.38,6.066,-1.1024,3821,353,3,4177,31,1,0,0,32,8,5,13,78.3,74.4,0.89,0.4273,0.0885,-35.61,5,171,-0.2083,10,0.625,12.267,0.0,0
2015,00-0023662,M.Cassel,DAL,8,231,203,14,11,3,-0.1651,-38.13,4.493,-4.5557,1276,80,-1,1355,5,0,0,0,5,7,1,8,24.9,17.2,-1.164,0.4199,0.0996,-31.05,0,43,-0.722,4,0.25,11.458,0.0,0
2015,00-0023682,R.Fitzpatrick,NYJ,16,628,562,19,31,16,0.1208,75.88,6.465,-1.5266,3905,237,44,4186,31,1,1,0,33,15,6,21,72.4,73.3,1.89,0.4522,0.0653,20.01,9,169,0.1184,10,0.625,13.345,0.0,0
2015,00-0024226,J.Cutler,CHI,15,544,485,29,14,16,0.0739,40.18,6.681,2.276,3659,124,83,3866,21,1,0,0,22,11,5,16,69.5,57.9,1.652,0.4743,0.0846,-2.54,7,136,-0.0187,6,0.375,12.407,0.0,0
2015,00-0026143,M.Ryan,ATL,16,665,616,30,13,6,0.0881,58.58,6.324,0.1643,4591,78,0,4669,21,0,0,0,21,16,7,23,76.0,58.3,1.409,0.5008,0.0812,18.89,4,146,0.1294,8,0.5,13.038,1.0,0
