season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2022,00-0027966,M.Ingram,NO,RB,64.0,16.0,18.0,80.0,233.0,68.0,301.0,1.0,0.0,1.0,-10.924,-7.066,-17.99,-0.225,3.762,0.889,5.1,2.8,3.6,0.0,0.0,1.0
2022,00-0030035,A.Thielen,MIN,WR,1.0,70.0,109.0,71.0,4.0,716.0,720.0,0.0,6.0,6.0,-0.134,54.582,54.449,0.767,10.141,0.642,11.3,12.8,16.9,12.787,3.0,0.0
2022,00-0030279,K.Allen,LAC,WR,1.0,66.0,89.0,67.0,8.0,752.0,760.0,0.0,4.0,4.0,0.588,54.922,55.51,0.829,11.343,0.742,12.3,9.8,12.9,32.634,2.0,0.0
2022,00-0030288,R.Burkhead,HOU,RB,26.0,37.0,51.0,63.0,80.0,204.0,284.0,0.0,1.0,1.0,-6.81,-3.607,-10.416,-0.165,4.508,0.725,5.7,4.0,9.1,-8.48,0.0,0.0
2022,00-0030431,R.Woods,,TE,0.0,53.0,91.0,53.0,0.0,527.0,527.0,0.0,2.0,2.0,0.0,48.955,48.955,0.924,9.943,0.582,52700.0,200.0,9100.0,17.897,1.0,0.0
2022,00-0030506,T.Kelce,KC,WR,2.0,110.0,153.0,112.0,5.0,1338.0,1343.0,0.0,12.0,12.0,0.489,112.102,112.59,1.005,11.991,0.719,19.5,21.8,24.8,24.295,0.0,0.0
2022,00-0030513,L.Murray,DEN,RB,172.0,27.0,35.0,199.0,760.0,132.0,892.0,6.0,0.0,6.0,-4.875,-4.558,-9.434,-0.047,4.482,0.771,15.6,21.4,6.5,2.9,2.0,0.0
2022,00-0030564,D.Hopkins,,WR,0.0,64.0,98.0,64.0,0.0,717.0,717.0,0.0,3.0,3.0,0.0,43.93,43.93,0.686,11.203,0.653,71700.0,300.0,9800.0,-0.37,0.0,0.0
2022,00-0030578,C.Patterson,ATL,RB,144.0,21.0,31.0,165.0,695.0,122.0,817.0,8.0,0.0,8.0,-0.252,0.426,0.174,0.001,4.952,0.677,15.1,23.5,7.7,-2.881,3.0,1.0
2022,00-0031236,B.Cooks,HOU,WR,2.0,57.0,93.0,59.0,7.0,699.0,706.0,0.0,3.0,3.0,-0.503,54.827,54.324,0.921,11.966,0.613,14.1,12.0,16.5,17.767,2.0,0.0
2022,00-0031376,J.McKinnon,KC,RB,72.0,56.0,72.0,128.0,291.0,512.0,803.0,1.0,9.0,10.0,-9.964,39.082,29.119,0.227,6.273,0.778,11.7,18.2,11.7,21.126,8.0,0.0
2022,00-0031381,D.Adams,LV,WR,3.0,100.0,181.0,103.0,-1.0,1516.0,1515.0,0.0,14.0,14.0,-3.83,129.57,125.739,1.221,14.709,0.552,25.0,35.0,32.3,26.004,2.0,0.0
2022,00-0031408,M.Evans,,WR,0.0,77.0,128.0,77.0,0.0,1124.0,1124.0,0.0,6.0,6.0,0.0,96.335,96.335,1.251,14.597,0.602,112400.0,600.0,12800.0,33.527,3.0,0.0
2022,00-0031544,A.Cooper,,WR,0.0,78.0,132.0,78.0,0.0,1160.0,1160.0,0.0,9.0,9.0,0.0,113.218,113.218,1.452,14.872,0.591,116000.0,900.0,13200.0,32.43,2.0,0.0
2022,00-0031588,S.Diggs,BUF,WR,1.0,108.0,154.0,109.0,-3.0,1429.0,1426.0,0.0,11.0,11.0,-1.292,117.633,116.34,1.067,13.083,0.701,23.6,22.9,27.9,17.884,1.0,0.0
