season,player_id,player_name,team,position,total_epa,epa_per_play,total_tds,total_yards,turnovers,pct_team_yards,pct_team_tds,team_wins,pts_per_drive,late_epa,late_tds,any_a,late_epa_per_play,scrimmage_yards,target_share,yards_per_touch,total_touches,last_name,z_total_epa,z_epa_per_play,z_total_tds,z_total_yards,z_turnovers,z_pct_team_yards,z_pct_team_tds,z_team_wins,z_pts_per_drive,z_late_epa,z_late_tds,vote_pct,won,raw_index,mvp_index
1999,00-0003378,A.Connell,WAS,WR,84.83699798583984,1.368,7.0,1129.0,0.0,18.7,14.3,10.0,15.821,19.63599967956543,1.0,0,1.2668386890042214,1129.0,23.2,18.21,62.0,connell,0.6087064397966674,1.0189436890137653,-0.00803939688701704,-0.0488797670075923,0.597158284528552,-0.5930621930747709,-0.5547647291626701,0.9776756752657875,1.4961259032487744,0.37434780944539925,-0.5651624939133351,0.0,False,0.2680759728197385,53.6
1999,00-0005562,A.Freeman,GB,WR,100.11699676513672,1.335,6.0,1072.0,0.0,19.6,16.7,8.0,12.31,17.378999710083008,1.0,0,0.9268799845377604,1072.0,22.7,14.293,75.0,freeman,0.8980530532607411,0.9645493818002717,-0.2853985894891037,-0.22871524281756372,0.597158284528552,-0.5930432302031008,-0.5474561923054185,0.5438517421896503,0.868313408323681,0.22152159682202457,-0.5651624939133351,0.0,False,0.08741692714588406,46.3
1999,00-0011869,A.Murrell,ARI,RB,-47.16899871826172,-0.197,0.0,872.0,1.0,21.2,0.0,6.0,8.167,-6.809000015258789,0.0,0,-0.11395815925119313,872.0,13.0,3.649,239.0,murrell,-1.8909984787032716,-1.5606651227776593,-1.9495537451016238,-0.8597169123262355,-0.15200392697090417,-0.5930095184312427,-0.5983114279371274,0.11002780911351298,0.12749108805177464,-1.4162987128552122,-1.1841499872469876,0.0,False,-1.0508545396107332,0.0
1999,00-0016550,A.Toomer,NYG,WR,103.11199951171876,1.289,6.0,1187.0,0.0,22.6,22.2,7.0,10.31,28.871000289916992,1.0,0,1.4435500144958495,1187.0,23.0,14.838,80.0,toomer,0.9547673183962382,0.8887270141693415,-0.2853985894891037,0.13411071714992248,0.597158284528552,-0.592980020630867,-0.5307074620075503,0.3269397756515816,0.51068737874516,0.9996691146903592,-0.5651624939133351,0.0,False,0.07686749422371039,45.9
1999,00-0004915,B.Engram,CHI,WR,80.44300079345703,0.904,4.0,945.0,0.0,17.3,13.8,6.0,9.379,21.266000747680664,3.0,0,0.9557753145025017,945.0,21.9,10.618,89.0,engram,0.5255003986476825,0.2541267633452533,-0.8401169746932771,-0.6294013029555703,0.597158284528552,-0.5930916908751467,-0.5562873410079308,0.11002780911351298,0.3442124619763583,0.4847186083733373,0.6728124927539703,0.0,False,0.02886866951404482,43.9
1999,00-0014489,B.Schroeder,,WR,83.55999755859375,1.129,5.0,1051.0,0.0,105100.0,500.0,0.0,0.0,20.923999786376957,2.0,0,1.1310270154798354,1051.0,12300.0,14.203,74.0,schroeder,0.5845247788978152,0.6249970398008894,-0.5627577820911904,-0.29497041811597424,0.597158284528552,1.6209858145175564,0.9243004173236197,-1.1914439901148988,-1.3328748037321156,0.4615610043253475,0.053824999420317585,0.0,False,-0.1562483674946215,36.4
1999,00-0002721,C.Carter,,WR,112.97599792480467,1.299,12.0,1192.0,0.0,119200.0,1200.0,0.0,0.0,17.150999069213867,1.0,0,0.7885516813431663,1192.0,13300.0,13.701,87.0,carter,1.1415549338447741,0.9052101375673698,1.3787565661234162,0.14988575888763928,0.597158284528552,1.9180708040166567,3.055957000688666,-1.1914439901148988,-1.3328748037321156,0.20608319412336457,-0.5651624939133351,0.0,False,0.2657483798222672,53.5
1999,00-0004304,C.Dillon,CIN,RB,-1.274999976158142,-0.005,6.0,1332.0,2.0,26.8,21.4,4.0,10.481,5.797999858856201,3.0,0,0.08526470380670884,1332.0,8.7,4.897,272.0,dillon,-1.0219360326810616,-1.2441891535355167,-0.2853985894891037,0.5915869275437095,-0.9011661384703603,-0.5928915272297395,-0.5331436409599675,-0.3237961239626243,0.5412644042741234,-0.5626522488075479,0.6728124927539703,0.0,False,-0.12406264300910189,37.7
1999,00-0004916,C.Enis,CHI,RB,-40.52399826049805,-0.126,5.0,1211.0,3.0,22.2,17.2,6.0,9.379,-5.385000228881836,0.0,0,-0.06710280659042786,1211.0,10.2,3.773,321.0,enis,-1.765166768459535,-1.4436349466516587,-0.5627577820911904,0.20983091749096308,-1.6503283499698165,-0.5929884485738314,-0.5459335804601577,0.11002780911351298,0.3442124619763583,-1.3198766937718933,-1.1841499872469876,0.0,False,-0.6902420814103989,14.7
1999,00-0005779,C.Garner,SF,RB,27.676000595092773,0.096,6.0,1673.0,1.0,32.1,22.2,4.0,10.172,9.461000442504885,3.0,0,0.13094810301044824,1673.0,13.8,5.789,289.0,garner,-0.47371125251695034,-1.077709607215431,-0.2853985894891037,1.6674447740559948,-0.15200392697090417,-0.5927798569854598,-0.5307074620075503,-0.3237961239626243,0.48601118270424204,-0.3146227788892945,0.6728124927539703,0.0,False,0.012686816198257483,43.2
