season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2009,00-0003292,K.Collins,TEN,7,231,217,5,2,7,-0.144,-33.26,4.27,-4.6718,1225,13,5,1243,6,1,0,0,7,8,4,12,22.6,20.0,-1.322,0.4069,0.0736,8.42,1,19,0.443,8,0.5,12.207,1.0,0
2009,00-0003739,D.Culpepper,DET,8,188,157,14,10,7,-0.168,-31.59,3.673,-4.1549,945,75,17,1037,3,0,0,0,3,6,1,7,21.2,10.7,-0.101,0.383,0.1117,-24.24,2,109,-0.2224,2,0.125,9.357,0.0,0
2009,00-0004161,J.Delhomme,CAR,11,352,317,23,6,6,-0.1602,-56.39,3.465,-4.6311,2015,45,20,2080,8,0,0,0,8,18,3,21,37.6,20.5,-1.642,0.4261,0.1278,0.0,0,0,0.0,8,0.5,11.25,0.0,0
2009,00-0005106,B.Favre,MIN,16,565,529,34,1,1,0.2233,126.16,7.638,6.0361,4202,2,4,4208,33,0,0,0,33,7,4,11,66.4,58.9,2.222,0.508,0.0796,23.57,7,139,0.1696,12,0.75,18.077,0.5,0
2009,00-0007091,M.Hasselbeck,SEA,14,544,489,32,14,9,-0.1378,-74.99,4.597,-2.3949,3029,81,40,3150,17,0,0,0,17,17,6,23,60.0,60.7,-1.523,0.4081,0.1011,-53.24,4,163,-0.3266,5,0.3125,9.655,0.0,0
2009,00-0010346,P.Manning,IND,16,586,572,10,2,2,0.284,166.44,7.502,6.4634,4500,5,-1,4504,33,0,0,0,33,16,1,17,76.4,64.7,5.248,0.5427,0.0478,34.17,8,111,0.3079,14,0.875,15.407,2.0,0
2009,00-0011022,D.McNabb,PHI,14,503,443,36,12,12,0.0895,45.01,6.843,0.0285,3553,126,29,3708,22,1,1,0,24,10,4,14,62.9,57.1,0.93,0.4473,0.0994,3.35,7,151,0.0222,11,0.6875,15.321,0.0,0
2009,00-0017200,K.Warner,ARI,15,540,507,24,5,4,0.0584,31.56,6.584,4.0374,3758,25,-5,3778,27,0,0,0,27,14,9,23,66.5,58.7,0.991,0.5074,0.0889,-18.23,4,119,-0.1532,10,0.625,12.5,0.0,0
2009,00-0019596,T.Brady,NE,16,602,568,16,6,12,0.2276,137.03,7.341,3.7827,4398,35,20,4453,28,0,1,0,29,13,4,17,69.4,58.0,1.422,0.5199,0.0548,22.26,6,111,0.2005,10,0.625,15.25,0.5,0
2009,00-0019599,M.Bulger,LA,9,267,247,14,5,1,-0.1827,-48.78,4.651,-5.695,1469,19,7,1495,5,0,0,0,5,6,2,8,32.0,22.7,-1.041,0.4007,0.0824,0.0,0,0,0.0,0,0.0,0.0,0.0,0
2009,00-0019709,C.Redman,ATL,4,127,117,8,0,2,0.0237,3.0,5.536,-5.3786,781,0,7,788,4,0,0,0,4,3,0,3,14.2,9.3,0.31,0.4488,0.0866,10.62,1,36,0.2949,9,0.5625,14.52,0.0,0
2009,00-0020531,D.Brees,NO,15,544,514,20,5,5,0.2868,156.02,8.311,7.5257,4388,36,9,4433,34,0,2,0,36,11,9,20,67.3,62.1,4.122,0.5423,0.0754,18.44,5,128,0.1441,13,0.8125,17.586,0.0,0
2009,00-0020679,S.Hill,SF,6,179,155,18,5,1,-0.0882,-15.78,4.89,-4.6492,943,55,17,1015,5,0,0,0,5,2,1,3,21.1,13.9,-0.177,0.3352,0.1173,0.0,0,0,0.0,8,0.5,11.0,0.0,0
2009,00-0021231,D.Garrard,JAX,16,618,513,42,35,28,-0.0127,-7.83,5.795,1.8395,3597,249,90,3936,15,3,0,0,18,10,11,21,73.0,50.0,-1.041,0.445,0.1052,3.65,6,154,0.0237,7,0.4375,11.6,0.0,0
2009,00-0021429,C.Palmer,CIN,16,519,464,26,15,14,0.0655,33.99,5.543,0.2366,3094,89,15,3198,21,1,2,0,24,13,7,20,62.6,75.0,1.358,0.474,0.0886,-3.24,5,112,-0.029,10,0.625,10.893,0.0,0
2009,00-0021678,T.Romo,DAL,16,600,548,34,12,6,0.1736,104.16,7.564,0.7207,4483,92,29,4604,26,0,1,0,27,9,6,15,70.7,65.9,2.777,0.485,0.0817,46.08,6,145,0.3178,11,0.6875,13.885,0.0,0
2009,00-0022055,S.Wallace,SEA,10,140,120,9,4,7,-0.1026,-14.36,4.736,1.6547,700,11,-4,707,3,1,0,0,4,2,3,5,13.5,14.3,-0.267,0.4286,0.1143,-4.94,0,4,-1.234,5,0.3125,9.655,0.0,0
2009,00-0022164,K.Boller,LA,7,205,175,17,7,6,-0.3894,-79.84,2.979,-8.4403,899,68,8,975,3,0,0,0,3,6,4,10,20.9,13.6,-1.463,0.3805,0.1366,-12.19,0,16,-0.7619,0,0.0,0.0,0.0,0
2009,00-0022177,B.Leftwich,TB,3,115,108,2,2,3,-0.1217,-13.99,4.9,-1.9231,594,5,2,601,4,0,0,0,4,3,0,3,13.5,16.0,-0.403,0.3217,0.0435,0.0,0,0,0.0,3,0.1875,8.133,0.0,0
2009,00-0022787,M.Schaub,HOU,16,634,580,26,17,11,0.167,105.87,7.462,5.0244,4770,78,5,4853,29,0,0,0,29,15,6,21,78.0,64.4,2.813,0.5189,0.0773,26.12,7,154,0.1696,9,0.5625,12.933,1.0,0
2009,00-0022803,E.Manning,NYG,16,548,507,30,7,4,0.1648,90.32,6.918,2.2707,4021,67,5,4093,27,0,0,0,27,14,9,23,68.3,62.8,2.224,0.4672,0.0967,23.66,7,145,0.1632,8,0.5,15.462,0.0,0
2009,00-0022924,B.Roethlisberger,PIT,15,580,505,50,10,15,0.1476,85.64,7.135,5.3932,4328,75,21,4424,26,0,2,0,28,12,5,17,71.0,68.3,1.997,0.5,0.119,22.93,7,165,0.139,9,0.5625,14.154,0.0,0
2009,00-0022942,P.Rivers,LAC,16,529,484,25,9,11,0.3161,167.22,8.334,6.5705,4254,46,10,4310,28,0,1,0,29,9,4,13,73.1,63.0,4.045,0.5104,0.0794,50.15,7,118,0.425,0,0.0,0.0,0.0,0
2009,00-0023436,A.Smith,SF,11,407,371,22,8,6,-0.0634,-25.82,5.181,-1.5763,2350,48,13,2411,18,0,0,0,18,12,3,15,50.2,50.0,-1.698,0.4005,0.0934,-26.64,5,143,-0.1863,8,0.5,11.0,0.0,0
2009,00-0023459,A.Rodgers,GB,16,637,543,49,18,27,0.2108,134.27,7.475,3.9253,4434,161,158,4753,30,2,3,0,35,7,7,14,76.4,68.6,2.325,0.4835,0.1005,51.09,7,135,0.3785,11,0.6875,16.464,0.0,0
2009,00-0023460,J.Campbell,WAS,16,584,505,42,27,10,0.015,8.74,5.609,1.4414,3618,238,10,3866,20,0,1,0,21,15,5,20,76.1,63.6,-0.77,0.4555,0.1062,-4.33,5,160,-0.027,4,0.25,9.852,0.0,0
2009,00-0023541,K.Orton,DEN,16,590,541,29,9,11,0.0424,25.03,6.181,-1.1252,3802,65,11,3878,21,0,0,0,21,12,4,16,69.2,63.6,1.157,0.4373,0.078,-5.1,7,192,-0.0265,8,0.5,11.643,0.0,0
2009,00-0023645,D.Anderson,CLE,8,200,181,11,0,8,-0.4125,-82.51,2.203,-14.1394,888,0,10,898,3,0,2,0,5,10,6,16,20.8,20.0,-1.614,0.31,0.135,5.86,1,31,0.1891,5,0.3125,8.448,0.0,0
2009,00-0023662,M.Cassel,KC,15,579,491,42,25,21,-0.1729,-100.12,4.266,-4.9918,2924,162,34,3120,16,0,0,0,16,16,3,19,63.1,57.1,-2.34,0.3661,0.1088,-16.33,3,153,-0.1068,4,0.25,9.484,0.0,0
2009,00-0023682,R.Fitzpatrick,BUF,10,274,226,22,15,11,-0.1434,-39.28,4.093,-3.033,1422,102,44,1568,9,1,0,0,10,10,3,13,35.2,37.0,-0.917,0.3686,0.1277,-9.78,5,81,-0.1208,6,0.375,9.214,0.0,0
2009,00-0024218,V.Young,TEN,12,314,258,9,27,20,0.1036,32.53,6.472,-0.918,1879,182,107,2168,10,0,2,0,12,7,4,11,39.3,34.3,1.957,0.4522,0.0701,11.76,5,95,0.1238,8,0.5,12.207,1.0,0
