season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2024,00-0023459,A.Rodgers,NYJ,17,644,587,40,16,1,0.0076,4.91,5.837,-2.584,3897,103,8,4008,28,0,0,0,28,11,5,16,73.3,68.3,-0.099,0.4348,0.087,17.91,9,184,0.0974,5,0.2941,13.52,0.0,0
2024,00-0026158,J.Flacco,IND,7,273,249,18,3,3,-0.0102,-2.78,5.854,1.0691,1761,26,3,1790,12,0,0,0,12,7,4,11,31.3,28.6,-0.528,0.4579,0.1062,3.14,3,85,0.0369,8,0.4706,13.464,0.0,0
2024,00-0026498,M.Stafford,LA,16,561,518,28,3,12,0.0695,39.0,6.573,-0.6664,3762,38,21,3821,20,0,0,0,20,8,2,10,65.5,54.1,1.596,0.4884,0.0677,26.79,3,117,0.229,10,0.5882,13.593,0.0,0
2024,00-0027973,A.Dalton,CAR,6,175,161,7,6,1,-0.1506,-26.35,4.893,-1.142,989,36,2,1027,7,0,0,0,7,6,2,8,20.5,17.1,-0.163,0.4114,0.0857,0.0,0,0,0.0,5,0.2941,12.63,0.0,0
2024,00-0029263,R.Wilson,PIT,11,400,335,33,20,12,-0.0075,-2.98,6.408,4.4718,2482,146,19,2647,16,1,1,0,18,5,5,10,47.9,48.6,-0.396,0.425,0.1075,-34.32,7,184,-0.1865,10,0.5882,14.615,0.0,0
2024,00-0029604,K.Cousins,ATL,14,490,450,28,3,9,0.0244,11.98,6.165,0.9587,3508,16,9,3533,18,0,0,0,18,16,3,19,54.4,43.9,0.922,0.4755,0.098,-9.19,1,61,-0.1507,8,0.4706,17.682,0.0,0
2024,00-0030565,G.Smith,SEA,17,668,579,50,24,15,0.0156,10.39,5.925,5.6395,4320,256,35,4611,21,2,0,0,23,15,3,18,80.0,59.0,1.255,0.4701,0.1033,7.3,8,159,0.0459,10,0.5882,12.931,0.0,0
2024,00-0031280,D.Carr,NO,10,305,282,8,8,7,0.1351,41.21,7.49,3.2764,2145,50,23,2218,15,0,1,0,16,5,1,6,40.3,41.0,1.005,0.4393,0.0459,4.4,1,34,0.1295,5,0.2941,12.071,0.0,0
2024,00-0031503,J.Winston,CLE,11,350,302,24,8,16,-0.0383,-13.42,5.248,-1.775,2121,46,38,2205,13,1,0,0,14,12,3,15,41.8,46.7,-0.156,0.4429,0.1171,-28.36,2,79,-0.359,3,0.1765,9.214,0.0,0
2024,00-0033077,D.Prescott,DAL,8,318,286,21,6,5,-0.0464,-14.77,5.622,-0.8513,1978,45,11,2034,11,0,1,0,12,8,3,11,35.4,38.7,1.233,0.4214,0.1006,0.0,0,0,0.0,7,0.4118,12.963,0.5,0
2024,00-0033106,J.Goff,DET,17,588,537,31,14,6,0.2819,165.78,8.09,5.7057,4629,69,3,4701,37,0,0,1,38,12,2,14,65.7,55.1,3.101,0.5425,0.0782,75.53,15,213,0.3546,15,0.8824,20.889,1.0,0
2024,00-0033119,J.Brissett,NE,7,191,161,18,9,3,-0.1718,-32.8,3.922,-2.9146,826,65,-1,890,2,0,0,0,2,1,1,2,18.4,6.5,-0.769,0.4084,0.1099,-2.18,0,2,-1.0905,4,0.2353,11.115,0.0,0
2024,00-0033537,D.Watson,CLE,7,280,217,33,21,9,-0.2264,-63.39,3.688,-2.2257,1148,132,17,1297,5,0,1,0,6,3,3,6,24.6,20.0,-1.199,0.3464,0.1429,0.0,0,0,0.0,3,0.1765,9.214,0.0,0
2024,00-0033662,C.Rush,DAL,11,339,308,13,4,14,-0.1325,-44.91,5.495,-8.0643,1844,12,15,1871,12,0,0,0,12,5,6,11,32.6,38.7,-0.561,0.4071,0.0796,-2.82,7,134,-0.021,7,0.4118,12.963,0.5,0
2024,00-0033873,P.Mahomes,KC,16,655,581,36,37,1,0.1548,101.42,6.019,2.5634,3928,333,4,4265,26,2,0,0,28,11,1,12,77.2,68.3,4.216,0.5053,0.0733,33.41,8,167,0.2001,15,0.8824,14.808,0.0,0
2024,00-0034771,M.Rudolph,TEN,8,261,226,11,13,11,-0.0035,-0.91,5.207,0.2381,1530,93,14,1637,9,1,0,0,10,9,2,11,31.2,26.3,0.292,0.4828,0.0843,16.55,5,116,0.1427,3,0.1765,12.44,0.0,0
2024,00-0034796,L.Jackson,BAL,17,620,471,23,45,81,0.3071,190.37,9.439,4.5519,4172,405,522,5099,41,0,4,0,45,4,6,10,73.0,71.4,3.348,0.5274,0.0645,55.89,13,123,0.4544,12,0.7059,20.72,0.5,0
2024,00-0034855,B.Mayfield,TB,17,666,572,40,42,12,0.1803,120.1,7.111,3.604,4500,368,22,4890,41,1,2,0,44,16,4,20,73.1,77.2,2.57,0.518,0.0916,62.08,16,191,0.325,10,0.5882,18.593,0.0,0
2024,00-0034857,J.Allen,BUF,16,591,483,14,44,50,0.3193,188.71,7.964,0.8436,3731,391,148,4270,28,3,9,0,40,6,2,8,73.8,64.5,4.21,0.5144,0.044,66.88,14,159,0.4206,13,0.7647,21.875,0.0,0
2024,00-0034869,S.Darnold,MIN,17,638,545,48,28,17,0.0645,41.13,6.988,3.8546,4319,222,11,4552,35,0,1,0,36,12,7,19,75.5,80.0,2.936,0.4953,0.1082,22.24,12,206,0.108,14,0.8235,15.429,1.0,0
2024,00-0035228,K.Murray,ARI,17,642,540,30,41,31,0.1025,65.83,6.239,2.1179,3851,357,224,4432,21,1,4,0,26,11,9,20,74.3,61.9,0.337,0.5047,0.0794,23.79,9,215,0.1106,8,0.4706,17.391,0.0,0
2024,00-0035289,G.Minshew II,LV,10,348,304,29,11,4,-0.153,-53.24,4.742,0.5195,2013,60,2,2075,9,0,0,0,9,10,4,14,38.6,28.1,-1.364,0.4454,0.1236,0.0,0,0,0.0,4,0.2353,12.36,1.0,0
2024,00-0035704,D.Lock,NYG,7,207,181,12,10,4,-0.1281,-26.52,4.549,-6.0963,1071,134,4,1209,6,2,0,0,8,5,2,7,23.8,24.2,-0.952,0.43,0.0918,-5.37,7,154,-0.0349,3,0.1765,10.111,0.0,0
2024,00-0035710,D.Jones,NYG,10,431,342,29,15,45,-0.048,-20.67,4.698,1.4571,2070,80,194,2344,8,0,2,0,10,7,2,9,46.2,30.3,-0.351,0.4524,0.0951,0.0,0,0,0.0,3,0.1765,10.111,0.0,0
2024,00-0035993,T.Huntley,MIA,5,173,134,15,15,9,-0.1237,-21.4,4.443,3.105,829,109,27,965,3,1,1,0,5,3,3,6,17.1,13.9,-0.812,0.3931,0.1214,-0.54,3,83,-0.0065,8,0.4706,13.269,0.0,0
2024,00-0036212,T.Tagovailoa,MIA,11,432,400,21,7,4,0.2048,88.47,6.599,3.7809,2867,57,-3,2921,19,0,0,0,19,7,2,9,51.6,52.8,2.351,0.5301,0.0718,16.67,4,126,0.1323,8,0.4706,13.269,0.0,0
2024,00-0036264,J.Love,GB,15,460,428,14,12,6,0.1378,63.38,7.464,0.6199,3389,85,5,3479,25,0,1,0,26,11,2,13,55.4,49.1,1.26,0.4783,0.0587,18.1,5,128,0.1414,11,0.6471,17.037,0.0,0
2024,00-0036355,J.Herbert,LAC,17,593,504,41,31,17,0.138,81.83,7.25,1.9456,3870,311,30,4211,23,1,1,0,25,3,3,6,76.7,62.5,2.537,0.4637,0.0826,57.58,10,194,0.2968,11,0.6471,14.889,0.0,0
2024,00-0036389,J.Hurts,PHI,15,530,361,38,39,92,0.1731,91.76,6.935,7.5215,2903,365,284,3552,18,0,14,0,32,5,5,10,57.2,59.3,2.814,0.5038,0.1057,23.03,6,86,0.2678,14,0.8235,17.808,1.5,0
2024,00-0036442,J.Burrow,CIN,17,732,653,48,22,9,0.1644,120.31,7.268,6.7868,4918,205,7,5130,43,1,1,0,45,9,8,17,81.4,78.9,4.881,0.5178,0.0888,40.13,14,228,0.176,9,0.5294,18.88,1.0,0
2024,00-0036945,J.Fields,PIT,10,235,161,16,19,39,0.0536,12.6,5.859,2.3884,1106,113,180,1399,5,3,2,0,10,1,3,4,25.3,27.0,0.549,0.4553,0.1064,1.37,0,1,1.3654,10,0.5882,14.615,0.0,0
2024,00-0036971,T.Lawrence,JAX,10,327,287,18,13,9,0.021,6.87,5.934,-0.9684,2045,105,17,2167,11,1,2,0,14,7,3,10,41.2,43.8,-0.214,0.4465,0.0856,0.0,0,0,0.0,4,0.2353,12.308,0.0,0
2024,00-0036972,M.Jones,JAX,10,302,265,14,14,9,-0.0036,-1.09,4.918,-0.4917,1672,83,14,1769,8,0,1,0,9,8,3,11,33.6,28.1,0.113,0.4305,0.0828,20.47,6,193,0.1061,4,0.2353,12.308,0.0,0
2024,00-0037834,B.Purdy,SF,15,543,451,31,44,17,0.1919,104.21,7.402,2.0626,3864,300,28,4192,20,2,3,0,25,12,3,15,66.8,62.5,2.061,0.512,0.0847,36.91,8,149,0.2478,6,0.3529,16.208,0.5,0
2024,00-0038122,D.Ridder,LV,5,103,84,10,6,3,-0.1991,-20.51,3.66,-3.1811,458,35,1,494,2,0,0,0,2,2,2,4,9.2,6.2,-0.441,0.3883,0.1456,-4.2,1,69,-0.0608,4,0.2353,12.36,1.0,0
2024,00-0038579,A.O'Connell,LV,9,268,244,10,3,11,-0.0064,-1.72,5.945,-3.5798,1612,26,17,1655,8,0,1,0,9,4,2,6,30.8,28.1,-0.371,0.4478,0.0597,-4.13,5,144,-0.0287,4,0.2353,12.36,1.0,0
2024,00-0038583,D.Thompson-Robinson,CLE,6,146,118,8,6,14,-0.4462,-65.15,0.976,-11.6683,440,39,85,564,0,0,0,0,0,6,1,7,10.7,0.0,-1.058,0.3151,0.1233,-49.42,0,118,-0.4188,3,0.1765,9.214,0.0,0
