season,player_id,player_name,team,rush_attempts,receptions,total_touches,rush_yards,rec_yards,total_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,late_epa,late_tds,fumbles_lost,scrimmage_yards,yards_per_touch,pct_team_yards,pct_team_tds,position,targets,catch_rate,target_share
1999,00-0012953,C.Pickens,,0.0,57.0,57.0,0.0,737.0,,0.0,6.0,6.0,0.0,53.209999084472656,53.209999084472656,0.934,9.184000015258789,0.0,0.0,737.0,12.93,73700.0,600.0,WR,108.0,0.528,10800.0
1999,00-0014450,C.Schlesinger,DET,40.0,21.0,61.0,117.0,151.0,,0.0,1.0,1.0,-19.270000457763672,10.411999702453613,-8.857000350952148,-0.145,-0.5860000252723694,0.0,1.0,268.0,4.393,5.3,3.4,RB,34.0,0.618,6.3
1999,00-0017209,C.Warren,DAL,98.0,34.0,132.0,399.0,224.0,,2.0,0.0,2.0,-17.66900062561035,7.357999801635742,-10.312000274658203,-0.078,-3.3429999351501465,1.0,3.0,623.0,4.72,11.9,5.6,RB,46.0,0.739,9.4
1999,00-0017337,C.Way,NYG,48.0,11.0,59.0,139.0,59.0,,2.0,0.0,2.0,-6.39300012588501,1.0190000534057617,-5.375,-0.091,0.0,0.0,0.0,198.0,3.356,3.8,7.4,RB,20.0,0.55,3.4
1999,00-0000145,D.Alexander,KC,2.0,54.0,56.0,82.0,832.0,,1.0,2.0,3.0,5.453999996185303,59.43600082397461,64.88899993896484,1.159,12.145000457763672,1.0,0.0,914.0,16.321,16.8,8.3,WR,103.0,0.524,21.8
1999,00-0001102,D.Bennett,KC,158.0,10.0,168.0,613.0,41.0,,8.0,0.0,8.0,-3.2130000591278076,-0.4230000078678131,-3.63700008392334,-0.022,1.7630000114440918,1.0,1.0,654.0,3.893,12.1,22.2,RB,12.0,0.833,2.5
1999,00-0009829,D.Levens,GB,276.0,69.0,345.0,1019.0,564.0,,9.0,1.0,10.0,-42.053001403808594,26.849000930786133,-15.204000473022461,-0.044,2.177000045776367,6.0,4.0,1583.0,4.588,29.0,27.8,RB,90.0,0.767,15.5
1999,00-0010107,D.Loville,DEN,39.0,11.0,50.0,201.0,50.0,,1.0,0.0,1.0,-1.50600004196167,-2.996999979019165,-4.502999782562256,-0.09,-7.3420000076293945,0.0,0.0,251.0,5.02,4.8,3.4,RB,16.0,0.688,3.0
1999,00-0010599,D.Mayes,,0.0,62.0,62.0,0.0,829.0,,0.0,10.0,10.0,0.0,86.0009994506836,86.0009994506836,1.387,19.56800079345703,3.0,0.0,829.0,13.371,82900.0,1000.0,WR,104.0,0.596,10400.0
1999,00-0014544,D.Scott,,0.0,67.0,67.0,0.0,1012.0,,0.0,6.0,6.0,0.0,89.16200256347656,89.16200256347656,1.331,16.347999572753906,1.0,0.0,1012.0,15.104,101200.0,600.0,WR,121.0,0.554,12100.0
1999,00-0015523,D.Staley,PHI,317.0,41.0,358.0,1230.0,294.0,,4.0,2.0,6.0,-42.426998138427734,17.652999877929688,-24.77400016784668,-0.069,-12.914999961853027,1.0,4.0,1524.0,4.257,40.9,26.1,RB,65.0,0.631,14.3
1999,00-0005883,E.George,TEN,309.0,46.0,355.0,1218.0,432.0,,9.0,4.0,13.0,-28.55500030517578,30.905000686645508,2.3499999046325684,0.007,9.0649995803833,2.0,4.0,1650.0,4.648,32.6,31.7,RB,63.0,0.73,12.3
